"feature_set","requested_features","actual_features","PC1_percent","PC2_percent","PC3_percent","PC1_PC2_percent","PC1_PC2_PC3_percent"
"Top_4144",4144,4144,47.3695252447054,22.5826591860276,9.00906981547285,69.9521844307329,78.9612542462058
"Top_2000",2000,2000,40.4435773958824,30.3464001091221,14.3841618494921,70.7899775050044,85.1741393544965
"Top_1000",1000,1000,42.0455689676977,22.7601570172938,19.0919818606709,64.8057259849916,83.8977078456625
"Top_500",500,500,44.7060837214325,23.6327484451623,14.5447669023343,68.3388321665948,82.8835990689291
"Top_200",200,200,58.6328095027841,14.5561025645254,8.299092823005,73.1889120673095,81.4880048903145
"Top_100",100,100,68.8278180030781,9.32842385654802,6.46295355964681,78.1562418596262,84.619195419273
"Top_50",50,50,77.9720307958415,6.97689735985412,5.94563708975217,84.9489281556956,90.8945652454478
"Top_30",30,30,76.0906261140592,7.82711351472656,5.48516872047819,83.9177396287858,89.402908349264
"Top_20",20,20,76.6161661080121,7.85056053305373,5.0639385656728,84.4667266410659,89.5306652067387
"Top_10",10,10,79.0634673295665,7.05452565717571,5.70826779022522,86.1179929867423,91.8262607769675
