"sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","group","replicate","broad_matrix"
"exudate_1",-24.8546098992744,-39.4689723487617,-0.120691917327767,-16.2241782029266,-1.09472591479192,-0.500484873212328,0.240069378144791,0.521393903965872,2.00749391400238,0.591681391523908,0.0449589708623029,7.32850207485563,0.612669109206397,1.01856128231566,-0.483260069131456,-0.827560398689796,-0.554247191728445,0.337385209414688,0.353849734039838,1.35445056743576,1.20137459037967,10.1640588100555,5.11824864245808,3.7920621503984e-14,"Plant-soil exudate","1","Soil extract"
"exudate_2",-23.8739131770521,-38.9003823353023,-0.875656688808722,-15.3282228576266,-2.04264895598441,-0.226079838927301,-0.137188372328044,-0.226158843129974,2.39241792172104,-0.0341976775158488,1.1401283797361,10.4921983706977,0.0930666444522696,-0.451395097637107,-1.7376810320279,-0.605616354411714,-0.362313597025946,0.509549659494753,0.521223195748733,1.11382738524065,0.19791620770174,0.404725867659136,-9.71272803743676,3.73767856942653e-15,"Plant-soil exudate","2","Soil extract"
"exudate_3",-24.6262364019412,-38.609798555595,0.0823499821012427,-15.1020543566586,-2.84117890871795,0.0737530965413511,-0.381543987176768,0.155013527620933,2.38709563341402,0.44918629770671,0.690528565791733,8.49902868997974,0.0455773303271865,-0.18563353862447,-1.24032409007344,-0.0903622720252985,-0.415395969865129,-0.507538530158444,0.0827156419962961,-0.602808587432327,5.63351492175206,-8.75414553761549,4.75875343222827,5.09770177459234e-15,"Plant-soil exudate","3","Soil extract"
"FC_1",54.42477346263,15.9595577778579,3.76076156143556,-8.86844334991808,20.1065289893312,20.0596198385747,9.89798874491141,-5.95115788969692,8.99124698114522,8.87470855591796,5.31830715855436,-1.88785457976888,0.199759672768346,0.503530038914188,-2.16836580203879,-3.05030684118759,-1.83165667984531,-0.540735379276479,-0.535038210201903,-0.483758232161155,-0.066810673861677,-0.00918072881316839,-0.0155950128035379,6.43859965343552e-14,"Fungal control","1","Fungal agar"
"FC_2",55.1373865886189,14.1327060430304,12.3528013744112,-11.1473297338695,16.9928124611671,1.83769824798551,1.32716713434758,-2.11337884681104,1.33880915653586,-11.8622810441358,-3.05811142048873,2.81863666039413,2.96837547070246,-0.871440238552919,9.05560237444514,11.5973100474806,3.39702352105368,2.43132870903389,0.571919972665402,0.266696892514782,-0.087709574186608,-0.0921593355922854,0.0569141289204156,3.30707683460219e-14,"Fungal control","2","Fungal agar"
"FC_3",54.0099078009417,14.7809030803881,13.9211240310443,-9.26985408048529,13.2393987217563,-5.23736367760335,-3.7942855672891,-1.74656906388561,-0.560710497744805,-10.0655898126337,-9.6486578437001,0.0725857051387777,-10.0415611615839,-0.565654212488806,-4.92666222368219,-10.3334594618843,-0.664684728266289,-1.88421991318758,-0.270626524085339,-0.374762734821701,-0.132995427030554,-0.0786384393685586,0.122345519688974,2.75751643741273e-14,"Fungal control","3","Fungal agar"
"fungi_old_1",45.1684689152289,10.1750955792803,-21.3258097643242,0.867470764859458,4.84625777100965,-24.4627544101228,19.04188421971,0.57586648261241,0.613322196646401,5.04735632195697,1.09594092255538,-0.621975905601326,1.07902050485957,0.5298445233994,-1.49105847359452,1.1046309741969,-0.253745850830965,0.296424951474458,0.398309027961228,-0.264537056002939,0.388675554484097,-0.142981138994297,-0.0827496303333955,2.02103958568678e-14,"Fungi old","1","Fungal agar"
"fungi_old_2",23.4966308351152,-3.52990832017578,-55.2105302305702,16.0862716066466,0.808037748955542,3.89412658609217,-5.32927298392195,1.31552356748586,-0.701934965816692,-2.2029014544841,-0.74476614250168,0.591832600153605,-0.490171818833857,-0.0494729338572156,0.707070769022129,0.810309747940621,-0.824199166926346,-1.15562042998397,-11.9916039286718,2.08518327625194,0.32329642862919,0.10285845636165,-0.0523928445764634,-2.92214169528293e-14,"Fungi old","2","Fungal agar"
"fungi_old_3",23.0081887904479,-4.48040529002358,-54.9483090715939,16.6009359164943,0.650054678256935,5.53064926643019,-5.70967734068343,-0.176066187367881,-1.57657867868225,-1.06807881558289,-0.724705953181432,0.124545672405696,-0.826348817455713,-0.17495115260617,-0.134620774044906,-0.683656729011208,1.55395993365511,0.878999556433535,11.8969499333408,-1.76447114441197,-0.459528087791582,-0.0259878476223126,0.246047656179794,-4.84091933206088e-14,"Fungi old","3","Fungal agar"
"leaf_1",-74.0304778282381,60.8354859432157,-6.98182668006493,-11.4787224033033,-1.54240149359316,-9.7665069289849,-10.7402697294877,-5.86798011495607,15.016658836344,-3.26173418993019,7.57241880221179,-3.28066778852878,0.511234288574808,1.40027246171466,1.31545353682752,-1.04530139193794,-0.744653265889687,0.226665196829927,0.268837722711026,-0.0811444317551968,0.0656274468072407,0.0765777676063298,-0.0103578425837951,3.75168646149504e-14,"Leaf","1","Plant tissue"
"leaf_2",-70.9564719345401,52.2460159897667,-3.46769840058508,-9.4589816779362,-2.16339639092179,2.3237172091147,0.251712690720191,-9.01451237200439,-6.2640512382191,11.0193111534322,-14.8309831944047,1.87300233683441,0.675165079246137,-2.90996295236335,0.417426535869101,2.85252270405525,0.944595680891672,-0.142761829294242,-0.419142684594789,0.0172038881553286,-0.0496226329920007,0.00204487767830041,-0.112169527407068,8.34679547701001e-14,"Leaf","2","Plant tissue"
"leaf_3",-74.1431280084984,58.2570810328509,-4.26768947957706,-12.7639942964515,1.1763951563692,8.07145967379338,10.3164751539357,14.1798988065924,-9.80812586390065,-7.26707176387988,5.66592270196853,1.17582574512573,-1.10900926439093,1.72253992434803,-1.51108842856577,-1.61158539519997,0.0605368166590978,-0.058960569370878,0.171899518412844,-0.0206726796450974,-0.138324042088091,-0.10966128424426,0.0676057815303678,2.8647223482281e-14,"Leaf","3","Plant tissue"
"new_in_P08",22.8326317893343,3.57277713886744,9.23171985100147,10.6198235932156,-27.0583711062075,4.68251098832404,4.71283603676171,-4.27478764610796,2.55256048409339,-7.61479978841802,-4.05609732341168,-2.60419051428923,3.7749312022392,5.10011604619792,-7.73247406845003,5.59519330083092,-9.78710282847347,-0.745014176233255,0.739581754119289,-0.514719002737171,-0.0697816651595736,0.16860177102263,-0.0897910738233279,3.44555113607203e-14,"Fungal agar in","1","Fungal agar"
"new_in_P09",33.9646945065517,8.90315747739621,9.51849759726695,6.23407549819051,-21.2375314917997,0.941879122805873,1.97624037724793,0.687715266956954,-1.4028541503106,2.81213745918939,1.00975431150897,0.883631800879974,-3.68403552523184,-2.11617896612326,14.0262645700475,-6.996995362604,-6.3961252527471,6.03523892887105,0.166836601604463,0.857302856138455,0.154049121045019,-0.29572699291377,-0.0812867776934784,3.72228289857723e-14,"Fungal agar in","2","Fungal agar"
