"feature_name","old_control_logFC","old_control_p","old_control_FDR","new_control_logFC","new_control_p","new_control_FDR","old_new_logFC","old_new_p","old_new_FDR","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","RT_flag","MSMS_flag","annotation_flag","old_significant","new_significant","age_significant","same_direction","fungal_age_category"
"F1259_mz167.1069_rt1.06",3.10358477956866,0.000133926780310501,0.0240647545657531,2.07648959322512,0.00163999204312547,0.0110468306762457,1.19319191935482,0.0130702182689551,0.0677799409760475,1259,1.059,167.10687,"Unknown","[M+H]+","ion correlated with 3491",0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",48.16,62457.3333333333,11.2143562374917,24,"RT >= 1 min","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F3227_mz310.1765_rt0.8",-5.28786827462944,0.000402301012080609,0.0456410498205451,-4.47404277547119,0.00320922708831868,0.0162610390412576,-0.647697024362748,0.537991869445748,0.610556831383152,3227,0.799,310.17648,"Unknown","[M+H]+","ion correlated with 2962; ion correlated with 4683; ion correlated with 2192",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",157.97,29614.3333333333,64.1305967629381,18,"Early RT","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F489_mz114.0552_rt1",2.34195204540767,0.000443978050516369,0.0457902816646201,1.50746343624826,0.010863698550513,0.0353390653473288,1.00059540021995,0.0383750886971205,0.108368716774675,489,1.005,114.05519,"Unknown","[M+H]+",NA,0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",32.68,44203,15.2383494706361,24,"RT >= 1 min","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F2598_mz265.1122_rt0.48",-1.98891112598208,0.000464963841771249,0.0458696937816941,-1.5050422621455,0.0002328879133498,0.00434952126925572,-0.317750654363354,0.28556417431093,0.37175856046946,2598,0.478,265.11215,"Unknown","[M+H]+",NA,0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",268.04,0,1933286,14,"Very early RT","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F1466_mz181.1226_rt1.14",2.9461586630867,0.000555428778405866,0.0462902873815676,1.59515998797604,0.000138357931081362,0.00390131916563183,1.51710044938535,0.0145140040744884,0.0689860152213004,1466,1.14,181.12256,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",14.54,54038,7.83915320416736,24,"RT >= 1 min","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F259_mz97.0286_rt1.01",2.86696829320696,0.000667746417062501,0.0465753557089132,1.31045689181307,0.000841585407084019,0.00749116613696973,1.72261850668554,0.00761386532554486,0.053531947887625,259,1.015,97.02865,"Unknown","[M+H]+","ion correlated with 1542; ion correlated with 1504; found in higher mz's MsMs_650; found in higher mz's MsMs_3013; found in higher mz's MsMs_3243; found in higher mz's MsMs_1504",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",45.5,23135.6666666667,17.4035873793402,24,"RT >= 1 min","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F3480_mz332.2187_rt0.96",-1.82188024387602,0.00076064220621981,0.0470640711112151,-0.600219650025577,0.00814857294411842,0.0297383610661556,-1.05553998259618,0.00884650240601394,0.057840348533588,3480,0.958,332.21869,"Unknown","[M+H]+","ion correlated with 3478; ion correlated with 2727; ion correlated with 3363; ion correlated with 4054; ion correlated with 601; ion correlated with 1545; ion correlated with 3614; ion correlated with 3651; ion correlated with 3312; ion correlated with 2349; ion correlated with 647; ion correlated with 3025; ion correlated with 3806; ion correlated with 3628; ion correlated with 2688; ion correlated with 3900; ion correlated with 3785; ion correlated with 916; ion correlated with 3465; ion correlated with 3294; ion correlated with 3477; ion correlated with 4312; ion correlated with 1581; ion correlated with 3913; ion correlated with 3451; ion correlated with 2698; ion correlated with 61; ion correlated with 3613",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",86.14,0,621335,14,"Early RT","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F3052_mz297.2428_rt2.49",-3.21784147753769,0.00084337692943234,0.0475363011579493,-1.25425752735075,0.000251713983101735,0.0044100490060431,-1.79742760962569,0.00752857163292064,0.053531947887625,3052,2.493,297.24277,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",25.11,10529.6666666667,19.9091858698405,24,"RT >= 1 min","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F1150_mz160.0428_rt0.78",2.8267709387695,0.000848805874580826,0.0475363011579493,1.90104603377022,0.0076513844078913,0.0284152625556044,1.09182130314981,0.0309358182286687,0.0954866782450887,1150,0.776,160.04276,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",43.23,0,169653,18,"Early RT","No MS/MS assignment","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
"F990_mz147.0765_rt0.46",1.50761653654743,0.000927756290640047,0.0475363011579493,1.08644807600679,0.0020808182659538,0.0128354822383564,0.587285296671779,0.0782503888564565,0.165105907833818,990,0.459,147.07654,"Unknown","[M+H]+",NA,0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1406.56,847.333333333333,55467.7497053045,24,"Very early RT","MS/MS available","Unknown",TRUE,TRUE,FALSE,TRUE,"Age-stable fungal effect"
