"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category","leaf_detected_n","root_detected_n","exudate_detected_n","soil_detected_n","leaf_present","root_present","exudate_present","soil_present","plant_pattern","RT_flag","MSMS_flag","annotation_flag","evidence_tier"
"F1682_mz196.8781_rt0.43",-2.98585143501535,17.7844014870047,-5.53533253088503,0.00274493045121337,0.082947833545563,-0.992226651940189,1682,0.429,196.8781,"Unknown","[M+H]+","similar chromatogram in higher mz_3665",0.536,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1801.35,0,1192926,19,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,0,3,3,TRUE,FALSE,TRUE,TRUE,"Leaf + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F1744_mz201.0526_rt0.5",-2.27304838192567,17.7523218010417,-5.60985207680143,0.00258961910883976,0.082947833545563,-0.936263700273659,1744,0.501,201.05261,"Unknown","[M+H]+","ion correlated with 946; ion correlated with 574; ion correlated with 904",0.071,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",87.84,24082.3333333333,25.9474878892734,8,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,1,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F3537_mz337.1051_rt2.67",2.08906200217763,14.2414708002047,6.67829054419197,0.00119369202881885,0.082947833545563,-0.213657830094391,3537,2.671,337.10507,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",923.6,8617.33333333333,21.0754206149681,24,"Exudate vs Soil","Exudate","Exudate enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","RT >= 1 min","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F1158_mz160.9872_rt0.48",-1.65101509559587,18.2978786102462,-6.00659979344788,0.0019177636519261,0.082947833545563,-0.651073054263695,1158,0.475,160.98715,"Unknown","[M+H]+","ion correlated with 904",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",140.8,107298.666666667,7.10565115144813,6,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,0,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F2296_mz241.9999_rt0.39",-1.61139311169622,21.7279184829689,-6.78233897260032,0.00111310292016522,0.082947833545563,-0.150613137656638,2296,0.393,241.99988,"Unknown","[M+H]+",NA,0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1384.11,0,10563256,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F2231_mz236.1049_rt0.52",1.57497180355801,19.8375074444652,5.98714642700281,0.00194549540952608,0.082947833545563,-0.664570366712295,2231,0.521,236.1049,"Unknown","[M+H]+","ion correlated with 2176; ion correlated with 2202",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",7038.67,77629.6666666667,546.109814849802,19,"Exudate vs Soil","Exudate","Exudate enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F2223_mz235.0928_rt0.49",1.46700740284241,23.5099805225314,5.73555651195433,0.00235043050798903,0.082947833545563,-0.843609919868459,2223,0.486,235.09285,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",3339.32,0,19496869,21,"Exudate vs Soil","Exudate","Exudate enriched - exploratory",0,3,3,3,FALSE,TRUE,TRUE,TRUE,"Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F2006_mz218.9839_rt0.39",-1.36262955496497,21.059083807086,-5.79744650461558,0.00224227247184447,0.082947833545563,-0.798785021026561,2006,0.391,218.9839,"Unknown","[M+H]+","found in higher mz's MsMs_2296",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",696.64,0,6654493,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F222_mz90.526_rt0.4",-1.30258483774335,25.2498483073928,-5.53161624625901,0.00275295840050209,0.082947833545563,-0.995037982432802,222,0.396,90.52601,"Unknown","[M+2H]2+",NA,0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",810.78,293752,287.8033756251,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F1974_mz216.951_rt0.39",-1.2946382200302,22.3754389022774,-6.31906951611883,0.00153036814194198,0.082947833545563,-0.440823093390044,1974,0.393,216.95103,"Unknown","[M+H]+","ion correlated with 343",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",545.53,814.666666666667,13418.6493665713,24,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
