"feature_name","RT","mz","metabolite_name","adduct","formula","ontology","MSMS","RT_flag","blank_ratio","log2_fold_change","raw_p","FDR","evidence_tier","possible_standard"
"F2594_mz265.0235_rt0.44",0.443,265.02347,"Unknown","[M+H]+","null","null",FALSE,"Very early RT",3125.54302512026,-7.45164633391679,2.13968372527795e-05,0.0296560164323523,"Tier 1: FDR + >=2-fold","Identification needed first"
"F1906_mz212.852_rt0.43",0.43,212.85202,"Unknown","[M+H]+","null","null",FALSE,"Very early RT",1557993,-3.37218661726751,0.00170618502352914,0.082947833545563,"Tier 3: exploratory + >=2-fold","Identification needed first"
"F1209_mz164.921_rt0.43",0.428,164.92101,"Unknown","[M+H]+","null","null",FALSE,"Very early RT",357997,-3.0776250004549,0.00174363783455864,0.082947833545563,"Tier 3: exploratory + >=2-fold","Identification needed first"
"F1682_mz196.8781_rt0.43",0.429,196.8781,"Unknown","[M+H]+","null","null",TRUE,"Very early RT",1192926,-2.98585143501535,0.00274493045121337,0.082947833545563,"Tier 3: exploratory + >=2-fold","Unknown feature - investigate MS/MS"
"F1449_mz180.8948_rt0.43",0.427,180.89479,"Unknown","[M+H]+","null","null",FALSE,"Very early RT",887399,-2.91148988789328,0.00210614991285372,0.082947833545563,"Tier 3: exploratory + >=2-fold","Identification needed first"
"F1034_mz150.4944_rt0.44",0.438,150.49442,"Unknown","[M+H]+","null","null",FALSE,"Very early RT",207134,-2.60113731906855,0.00110861688816779,0.082947833545563,"Tier 3: exploratory + >=2-fold","Identification needed first"
"F808_mz136.484_rt0.43",0.433,136.48401,"Unknown","[M+H]+","null","null",FALSE,"Very early RT",183577,-2.33508567226669,0.00134439125059406,0.082947833545563,"Tier 3: exploratory + >=2-fold","Identification needed first"
"F1744_mz201.0526_rt0.5",0.501,201.05261,"Unknown","[M+H]+","null","null",TRUE,"Early RT",25.9474878892734,-2.27304838192567,0.00258961910883976,0.082947833545563,"Tier 3: exploratory + >=2-fold","Unknown feature - investigate MS/MS"
"F4226_mz414.3914_rt0.4",0.398,414.39142,"Unknown","[M+2H]2+","null","null",FALSE,"Very early RT",158401,-2.26777223848162,0.000480077012342757,0.082947833545563,"Tier 3: exploratory + >=2-fold","Identification needed first"
"F3537_mz337.1051_rt2.67",2.671,337.10507,"Unknown","[M+H]+","null","null",TRUE,"RT >= 1 min",21.0754206149681,2.08906200217763,0.00119369202881885,0.082947833545563,"Tier 3: exploratory + >=2-fold","Unknown feature - investigate MS/MS"
