"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_1","blank_2","blank_3","blank_4","exudate_1","exudate_2","exudate_3","FC_1","FC_2","FC_3","fungi_old_1","fungi_old_2","fungi_old_3","leaf_1","leaf_2","leaf_3","new_in_P08","new_in_P09","new_in_P10","new_out_P08","new_out_P09","new_out_P10","root_1","root_2","root_3","Soil_control_1","Soil_control_2","Soil_control_3","feature_name","blank_mean","maximum_biological_signal","sample_to_blank_ratio","present_in_any_group","number_detected","leaf_n","root_n","exudate_n","soil_n","fungal_control_n","fungal_out_n","fungal_in_n","fungi_old_n","leaf_present","root_present","exudate_present","soil_present","fungal_control_present","fungal_out_present","fungal_in_present","fungi_old_present","plant_present","fungus_present","plant_and_fungus","cross_pattern"
4,0.444,60.0811,"Unknown","[M+H]+","found in higher mz's MsMs_1517; found in higher mz's MsMs_364",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2.79,33394,38450,23329,0,21265,17770,15877,326189,328371,389383,309932,302446,225600,460732,331958,563149,175166,307620,246663,370913,346301,304191,184237,231452,237237,23844,25067,17917,"F4_mz60.0811_rt0.44",31724.3333333333,563149,17.7507985206355,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
5,0.38,61.00764,"Unknown","[M+2H]2+","ion correlated with 343; similar chromatogram in higher mz_16; similar chromatogram in higher mz_33; similar chromatogram in higher mz_49; similar chromatogram in higher mz_69; similar chromatogram in higher mz_87; similar chromatogram in higher mz_99; similar chromatogram in higher mz_142; similar chromatogram in higher mz_186; similar chromatogram in higher mz_427; similar chromatogram in higher mz_455; similar chromatogram in higher mz_540; similar chromatogram in higher mz_630; similar chromatogram in higher mz_1735; similar chromatogram in higher mz_2097; similar chromatogram in higher mz_3252; similar chromatogram in higher mz_3434; found in higher mz's MsMs_329",0.5,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",425.73,29557,32133,11052,0,6089285,2967377,5261689,1726275,1690950,1090265,1773677,511074,431402,1232794,1427119,1777105,142542,191443,167511,502402,723856,1445470,795145,648394,662742,12035549,9720250,13501262,"F5_mz61.0076_rt0.38",24247.3333333333,13501262,556.791380850918,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
7,0.524,61.011,"Unknown","[M+H]+","found in higher mz's MsMs_109; found in higher mz's MsMs_2175",0.25,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",136.84,50572,28871,13034,0,23798,22528,22412,916720,990887,846077,878063,1095917,1270106,1210020,1592985,1281679,1528677,1755396,1456330,1308642,1041457,987047,1722408,1770402,1732519,72960,54849,35203,"F7_mz61.011_rt0.52",30825.6666666667,1770402,57.43089316609,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
8,0.639,61.01101,"Unknown","[M+H]+","found in higher mz's MsMs_110; found in higher mz's MsMs_319; found in higher mz's MsMs_3120",0.5,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",91.09,28710,32854,8149,0,54105,137283,263228,998294,844361,923412,1026097,1123666,1132843,1233468,1216203,1331393,1434840,1499600,1264394,1443306,1242448,1074730,1305404,1505386,1509664,162532,370743,262721,"F8_mz61.011_rt0.64",23237.6666666667,1509664,64.9634947501291,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
16,0.389,62.02398,"Unknown","[M+2H]2+","ion correlated with 1061; similar chromatogram in higher mz_663; similar chromatogram in higher mz_49; similar chromatogram in higher mz_142; similar chromatogram in higher mz_174; similar chromatogram in higher mz_921; similar chromatogram in higher mz_2420; similar chromatogram in higher mz_373; similar chromatogram in higher mz_343; similar chromatogram in higher mz_64; similar chromatogram in higher mz_1974; similar chromatogram in higher mz_881; similar chromatogram in higher mz_187; similar chromatogram in higher mz_2274; similar chromatogram in higher mz_1246; similar chromatogram in higher mz_37; similar chromatogram in higher mz_54; similar chromatogram in higher mz_58; similar chromatogram in higher mz_69; similar chromatogram in higher mz_192; similar chromatogram in higher mz_202; similar chromatogram in higher mz_217; similar chromatogram in higher mz_237; similar chromatogram in higher mz_323; similar chromatogram in higher mz_371; similar chromatogram in higher mz_380; similar chromatogram in higher mz_427; similar chromatogram in higher mz_455; similar chromatogram in higher mz_497; similar chromatogram in higher mz_772; similar chromatogram in higher mz_844; similar chromatogram in higher mz_898; similar chromatogram in higher mz_1061; similar chromatogram in higher mz_1697; similar chromatogram in higher mz_1709; similar chromatogram in higher mz_1936; similar chromatogram in higher mz_2097; similar chromatogram in higher mz_2613; similar chromatogram in higher mz_3434; similar chromatogram in higher mz_3606; similar chromatogram in higher mz_3719; similar chromatogram in higher mz_3880; similar chromatogram in higher mz_4122; similar chromatogram in higher mz_4385; similar chromatogram in higher mz_4464; similar chromatogram in higher mz_4518; similar chromatogram in higher mz_4553; similar chromatogram in higher mz_4788; similar chromatogram in higher mz_35; similar chromatogram in higher mz_244; similar chromatogram in higher mz_266; similar chromatogram in higher mz_273; similar chromatogram in higher mz_390; similar chromatogram in higher mz_452; similar chromatogram in higher mz_494; similar chromatogram in higher mz_617; similar chromatogram in higher mz_691; similar chromatogram in higher mz_849; similar chromatogram in higher mz_989; similar chromatogram in higher mz_1037; similar chromatogram in higher mz_1181; similar chromatogram in higher mz_1315; similar chromatogram in higher mz_1353; similar chromatogram in higher mz_2006; similar chromatogram in higher mz_2032; similar chromatogram in higher mz_2320; similar chromatogram in higher mz_2549; similar chromatogram in higher mz_2661; similar chromatogram in higher mz_2822; similar chromatogram in higher mz_3457; similar chromatogram in higher mz_4537; similar chromatogram in higher mz_1473; similar chromatogram in higher mz_2461; similar chromatogram in higher mz_4217; similar chromatogram in higher mz_538; similar chromatogram in higher mz_1014; similar chromatogram in higher mz_2405; similar chromatogram in higher mz_249; similar chromatogram in higher mz_2159; similar chromatogram in higher mz_186; similar chromatogram in higher mz_788; similar chromatogram in higher mz_564; similar chromatogram in higher mz_307; similar chromatogram in higher mz_4827; similar chromatogram in higher mz_88; similar chromatogram in higher mz_467",0.786,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",490.41,32473,29384,25284,0,1436067,997675,1313370,1967956,1816372,1553157,1201775,792497,795519,3043346,3197742,4249654,292498,497015,366507,951396,1382189,1540768,1944454,1293312,2005100,3931811,4461284,2880246,"F16_mz62.024_rt0.39",29047,4461284,153.583207105481,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
17,0.529,62.99005,"Unknown","[M+H]+","found in higher mz's MsMs_135; found in higher mz's MsMs_22",0.429,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",274.28,7086,10038,0,0,0,0,470,346823,414888,224392,213397,327768,391013,433627,401945,393646,487349,448188,324784,406011,406812,249096,522712,622242,674802,0,2245,0,"F17_mz62.99_rt0.53",5708,674802,118.19985987038,TRUE,20,3,3,1,1,3,3,3,3,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Root + Fungal in"
18,0.643,62.9903,"Unknown","[M+H]+","ion correlated with 1427; found in higher mz's MsMs_319; found in higher mz's MsMs_136",0.357,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",173.53,10547,5970,0,0,45685,39391,37716,436832,415875,362214,333993,408393,380137,413742,491546,389013,400202,432766,380130,511771,285399,382715,454609,466298,459471,55684,72830,36052,"F18_mz62.9903_rt0.64",5505.66666666667,511771,92.936803874092,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
20,0.379,63.00409,"Unknown","[M+H]+","ion correlated with 371; ion correlated with 645; ion correlated with 3828",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",193.27,0,0,1661,0,99632,35773,78062,28262,12637,10600,11208,9074,2472,14106,24728,23432,0,2003,3676,3653,5238,25626,11436,5574,0,212710,149703,193562,"F20_mz63.0041_rt0.38",553.666666666667,212710,383.493389423077,TRUE,22,3,2,3,3,3,3,2,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
21,0.393,63.02274,"Unknown","[M+H]+","ion correlated with 2852; ion correlated with 2549",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",100.45,0,0,1661,0,188668,122054,176576,195435,232426,184756,164639,79284,97939,436371,381909,554994,47389,56537,41284,100510,150256,156290,187973,169267,244356,466760,448139,282688,"F21_mz63.0227_rt0.39",553.666666666667,554994,1000.59194711538,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
22,0.524,63.99794,"Unknown","[M+H]+","found in higher mz's MsMs_109; found in higher mz's MsMs_1108; found in higher mz's MsMs_1135; found in higher mz's MsMs_100",0.643,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2525.49,210900,99762,20718,0,17142,2407,14975,3744233,3594273,3537596,3549883,4181898,4676929,5231929,5747752,4916606,5913584,5797003,6170939,5222030,4394880,3909598,7213434,7162745,7150643,49654,31515,13445,"F22_mz63.9979_rt0.52",110460,7213434,65.3030028697911,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
23,0.599,63.99798,"Unknown","[M+H]+","ion correlated with 24",0.143,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",896.33,199054,87774,23382,0,631083,527146,891243,4258212,4214122,4024423,3939469,4376562,4874768,5394354,5535766,5367714,5994355,5510050,5405738,5526431,4363618,4307148,4978802,5697352,6323940,644791,1385876,1078848,"F23_mz63.998_rt0.6",103403.333333333,6323940,61.1574079745207,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
24,0.64,63.99801,"Unknown","[M+H]+","ion correlated with 23; ion correlated with 1136; found in higher mz's MsMs_110; found in higher mz's MsMs_1109; found in higher mz's MsMs_1136",0.714,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2375.66,199054,87774,26459,0,215931,527146,891243,4258212,4214122,4024423,3939469,4376562,4874768,5394354,5535766,5367714,5994355,5510050,5405738,5526431,4363618,4307148,6059863,5697352,6323940,644791,1385876,1078848,"F24_mz63.998_rt0.64",104429,6323940,60.5567461457436,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
27,5.779,64.01605,"Unknown","[M+H]+","ion correlated with 132; ion correlated with 3113; ion correlated with 606; ion correlated with 4371; similar chromatogram in higher mz_4371; similar chromatogram in higher mz_132; similar chromatogram in higher mz_4389; similar chromatogram in higher mz_150; similar chromatogram in higher mz_4273",0.179,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",21.35,99756,72677,74618,0,66461,73890,70431,101018,92349,93183,81473,79106,67868,558570,338830,486915,80941,82640,78446,83513,81189,73039,582643,455591,516954,65813,71673,74745,"F27_mz64.0161_rt5.78",82350.3333333333,582643,7.07510099006695,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
30,0.528,65.99371,"Unknown","[M+H]+","found in higher mz's MsMs_135; found in higher mz's MsMs_1135",0.25,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",146.62,9493,0,0,0,0,10462,2687,165954,161300,142752,167834,217437,198495,170861,205973,140591,282680,178948,172272,158676,142122,140918,157962,227959,295440,0,0,0,"F30_mz65.9937_rt0.53",3164.33333333333,295440,93.3364574557708,TRUE,20,3,3,2,0,3,3,3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
31,0.629,65.99371,"Unknown","[M+H]+","found in higher mz's MsMs_1136; found in higher mz's MsMs_136",0.25,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",129.36,0,3340,0,0,7372,9476,13717,182088,131850,110632,94585,105763,189904,147004,218989,182414,265402,169885,202332,227037,152931,168890,234896,199870,198024,17945,40984,43389,"F31_mz65.9937_rt0.63",1113.33333333333,265402,238.17200119653,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
32,9.681,66.01914,"Unknown","[M+H]+","similar chromatogram in higher mz_2167; found in higher mz's MsMs_1220",0.179,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",85.79,739,54916,55162,0,72093,113374,75440,28758,54799,79540,295009,67046,146442,6172,13523,12534,57596,61148,34528,44129,69542,72814,5299,2307,12690,125016,63781,133565,"F32_mz66.0191_rt9.68",36939,295009,7.98619382782891,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
33,0.381,66.01916,"Unknown","[M+H]+","similar chromatogram in higher mz_99",0.179,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",102.96,0,1884,0,0,68312,36884,98931,75155,66774,43210,41103,27565,8615,115834,144933,272961,6332,10492,3516,21870,45958,47588,59685,42878,59272,256545,67334,239477,"F33_mz66.0192_rt0.38",628,272961,433.961844197138,TRUE,24,3,3,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate + Fungus"
34,0.43,66.06852,"Unknown","[M+H]+","ion correlated with 3168; ion correlated with 4047; ion correlated with 4261; ion correlated with 4157; ion correlated with 3928",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",58.74,0,0,0,0,0,0,0,94805,115274,109540,46984,0,0,0,0,0,34670,58975,57519,112537,144319,157000,0,0,0,0,0,0,"F34_mz66.0685_rt0.43",0,157000,157001,TRUE,10,0,0,0,0,3,3,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Other pattern"
