"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_1","blank_2","blank_3","blank_4","exudate_1","exudate_2","exudate_3","FC_1","FC_2","FC_3","fungi_old_1","fungi_old_2","fungi_old_3","leaf_1","leaf_2","leaf_3","new_in_P08","new_in_P09","new_in_P10","new_out_P08","new_out_P09","new_out_P10","root_1","root_2","root_3","Soil_control_1","Soil_control_2","Soil_control_3","feature_name","blank_mean","maximum_biological_signal","sample_to_blank_ratio","present_in_any_group","number_detected","leaf_detected_n","root_detected_n","exudate_detected_n","soil_detected_n","leaf_present","root_present","exudate_present","soil_present","plant_pattern"
2761,0.895,276.14478,"Unknown","[M+2H]2+","ion correlated with 3012; ion correlated with 3428",0.429,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9089.63,0,0,0,0,2141,2488,0,20314368,7183862,4739026,11653951,51437868,48793800,0,0,0,504051,1045193,637976,1219148,1487634,1853257,0,0,0,0,0,0,"F2761_mz276.1448_rt0.9",0,51437868,51437869,TRUE,14,0,0,2,0,FALSE,FALSE,TRUE,FALSE,"Exudate only"
2790,0.488,278.12387,"Unknown","[M+H]+","ion correlated with 873; ion correlated with 2042; ion correlated with 2814",0.429,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1161.45,0,0,0,0,0,3710,3068,6188389,4549483,3612170,6044602,11255705,10573269,0,0,0,680653,1269215,942861,1506720,2243088,2079311,0,0,0,0,0,0,"F2790_mz278.1239_rt0.49",0,11255705,11255706,TRUE,14,0,0,2,0,FALSE,FALSE,TRUE,FALSE,"Exudate only"
3021,0.453,295.11398,"Unknown","[M+H]+","ion correlated with 3541; ion correlated with 2026; ion correlated with 3221; ion correlated with 2572",0.429,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",312.5,0,0,0,0,27750,30230,25626,3098236,1162135,559290,1292945,3041125,2967967,0,0,0,104214,165454,144553,177386,369926,173514,0,0,0,0,0,0,"F3021_mz295.114_rt0.45",0,3098236,3098237,TRUE,15,0,0,3,0,FALSE,FALSE,TRUE,FALSE,"Exudate only"
2437,1.131,252.12346,"Unknown","[M+H]+","ion correlated with 2194; ion correlated with 2707",0.143,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",126.62,0,0,0,0,1650,1596,0,297039,226313,202632,2344397,817148,610966,0,0,0,62667,78610,57965,131941,197777,203161,0,0,0,0,0,0,"F2437_mz252.1235_rt1.13",0,2344397,2344398,TRUE,14,0,0,2,0,FALSE,FALSE,TRUE,FALSE,"Exudate only"
824,0.915,137.10757,"Unknown","[M+H]+","ion correlated with 1656; ion correlated with 2243; ion correlated with 1911; ion correlated with 1867; ion correlated with 2082",0.429,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",126.29,0,0,0,0,1628,3182,0,964304,986211,834360,1282807,1268089,1097358,0,0,0,273688,387339,318544,563357,797728,805636,0,0,0,0,4917,0,"F824_mz137.1076_rt0.92",0,1282807,1282808,TRUE,15,0,0,2,1,FALSE,FALSE,TRUE,FALSE,"Exudate only"
2799,1.158,279.07709,"Unknown","[M+H]+","ion correlated with 1519; ion correlated with 2619; ion correlated with 1003",0.071,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",99.86,0,0,0,0,0,1974,1798,0,4337,0,57999,1202614,1001095,0,0,0,0,0,0,4022,3308,4300,0,0,0,0,1514,0,"F2799_mz279.0771_rt1.16",0,1202614,1202615,TRUE,10,0,0,2,1,FALSE,FALSE,TRUE,FALSE,"Exudate only"
4996,0.49,684.25635,"Unknown","[M+H]+",NA,0.429,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",379.13,0,0,0,0,11883,0,4673,709898,650970,498913,1037904,1108956,987153,0,0,0,856530,795430,949375,556155,677972,605717,0,0,0,0,0,0,"F4996_mz684.2564_rt0.49",0,1108956,1108957,TRUE,14,0,0,2,0,FALSE,FALSE,TRUE,FALSE,"Exudate only"
916,0.967,143.11826,"Unknown","[M+H]+","ion correlated with 3651; ion correlated with 3312; ion correlated with 2963; ion correlated with 3025; ion correlated with 3806; ion correlated with 3628; ion correlated with 3334; ion correlated with 62; ion correlated with 3381; ion correlated with 2829; ion correlated with 3778; ion correlated with 3900; ion correlated with 1446; ion correlated with 3785; ion correlated with 3477; ion correlated with 3132; ion correlated with 2444; ion correlated with 3393; ion correlated with 2891; ion correlated with 3913; ion correlated with 2926; ion correlated with 1544; ion correlated with 61; ion correlated with 761; ion correlated with 3432; ion correlated with 1392; ion correlated with 2672",0.357,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",84.17,0,0,0,0,3523,0,2352,738894,1093289,971036,314769,29895,10838,0,0,0,146017,296086,167388,624184,785753,828168,0,0,0,0,0,0,"F916_mz143.1183_rt0.97",0,1093289,1093290,TRUE,14,0,0,2,0,FALSE,FALSE,TRUE,FALSE,"Exudate only"
2100,0.526,226.07153,"Unknown","[M+H]+",NA,0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",43.8,0,0,0,0,4781,0,2793,200258,29664,66485,113621,202169,294542,0,0,0,0,0,0,80515,83907,74036,0,0,0,0,4181,0,"F2100_mz226.0715_rt0.53",0,294542,294543,TRUE,12,0,0,2,1,FALSE,FALSE,TRUE,FALSE,"Exudate only"
4737,0.417,546.82483,"Unknown","[M+H]+","ion correlated with 2334",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2965.04,0,0,0,0,28576,15271,14218,60971,36844,44807,102035,169890,172831,0,0,0,44790,54788,43418,69215,61654,58906,0,0,0,0,0,43666,"F4737_mz546.8248_rt0.42",0,172831,172832,TRUE,16,0,0,3,1,FALSE,FALSE,TRUE,FALSE,"Exudate only"
