"feature_name","group_1","group_2","group_1_mean","group_2_mean","log2_fold_change","group_1_sd","group_2_sd","p_value","adjusted_p_value","fold_change","direction","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected"
"F1916_mz213.124_rt0.96","Plant-soil exudate","Soil control",12.1702719709606,13.176904186863,-1.00663221590233,0.0121477500789383,0.0452418308009551,0.000311941365982941,0.0220065702890748,0.497706724372636,"Higher in Soil control",1916,0.962,213.12398,"Unknown","[M+H]+","ion correlated with 1623; ion correlated with 1780; ion correlated with 928; ion correlated with 1498; ion correlated with 2214; ion correlated with 1348; ion correlated with 4009; ion correlated with 1692; ion correlated with 655; ion correlated with 2082; ion correlated with 2255; ion correlated with 1499; ion correlated with 855",FALSE,"null","null","null",61.15,326.476171405687,17
"F2594_mz265.0235_rt0.44","Plant-soil exudate","Soil control",14.4209606320049,22.1036309791892,-7.68267034718437,0.449881487458055,0.761962463822745,0.00041300944415409,0.0220065702890748,0.00486727381445589,"Higher in Soil control",2594,0.443,265.02347,"Unknown","[M+H]+",NA,FALSE,"null","null","null",195.81,3125.54302512026,24
"F4366_mz440.251_rt0.96","Plant-soil exudate","Soil control",12.0306906632314,13.0286568024979,-0.997966139266442,0.0121474821120629,0.0556981460712385,0.000646659021533849,0.0220065702890748,0.500705379509347,"Higher in Soil control",4366,0.965,440.25101,"Unknown","[M+H]+","ion correlated with 4373",FALSE,"null","null","null",29.46,167506,15
"F3039_mz296.8138_rt0.43","Plant-soil exudate","Soil control",13.0723542264178,16.0907013526471,-3.0183471262293,0.0121489763785396,0.165838168270827,0.000951345836503287,0.0220065702890748,0.123420407976859,"Higher in Soil control",3039,0.43,296.81378,"Unknown","[M+H]+","ion correlated with 4476",FALSE,"null","null","null",62.53,128105,12
"F1498_mz183.1132_rt0.92","Plant-soil exudate","Soil control",13.1858150844737,12.0788160949376,1.10699898953613,0.0696139571504323,0.0058574436453296,0.00122887445070504,0.0220065702890748,2.15397124374372,"Higher in Plant-soil exudate",1498,0.923,183.1132,"Unknown","[M+2H]2+","ion correlated with 460; ion correlated with 2034; ion correlated with 1623; ion correlated with 1348; ion correlated with 1867; ion correlated with 1916; ion correlated with 2082",FALSE,"null","null","null",129.05,847.831566548881,15
"F717_mz129.9793_rt0.39","Plant-soil exudate","Soil control",20.5293857387442,21.6828151166774,-1.15342937793313,0.171094903418649,0.110377395577701,0.00127179591132364,0.0220065702890748,0.449555338555727,"Higher in Soil control",717,0.393,129.97932,"Unknown","[M+H]+","ion correlated with 3434; ion correlated with 3606; ion correlated with 3634; ion correlated with 35; ion correlated with 2414; ion correlated with 1170",FALSE,"null","null","null",59.66,21.608112745098,24
"F1170_mz162.0076_rt0.4","Plant-soil exudate","Soil control",20.4793934353139,21.5196336692423,-1.04024023392833,0.165517478415595,0.144056729036063,0.0012994355571248,0.0220065702890748,0.486246498427668,"Higher in Soil control",1170,0.401,162.00763,"Unknown","[M+H]+","ion correlated with 717; ion correlated with 3634; ion correlated with 35; ion correlated with 2414",FALSE,"null","null","null",218.43,91.1340620772859,24
"F1802_mz204.9095_rt0.43","Plant-soil exudate","Soil control",17.3275723237929,19.4870831326341,-2.15951080884124,0.219520078829887,0.333149798664781,0.00140145329342715,0.0220065702890748,0.223832152201508,"Higher in Soil control",1802,0.433,204.90947,"Unknown","[M+H]+","ion correlated with 371; ion correlated with 4024; ion correlated with 808; ion correlated with 1143; ion correlated with 2056; ion correlated with 1034; ion correlated with 1127; ion correlated with 327; ion correlated with 946; ion correlated with 574; ion correlated with 1503",FALSE,"null","null","null",67.37,208414,8
"F3866_mz367.9921_rt0.5","Plant-soil exudate","Soil control",19.0589796515176,20.1136719219607,-1.05469227044305,0.173091496205733,0.151630794932868,0.00146401315146068,0.0220065702890748,0.481399894100292,"Higher in Soil control",3866,0.496,367.99213,"Unknown","[M+H]+","ion correlated with 1695; ion correlated with 327; ion correlated with 574; ion correlated with 4008; ion correlated with 3597; ion correlated with 786",FALSE,"null","null","null",4097.13,296667,6
"F2239_mz236.9593_rt0.4","Plant-soil exudate","Soil control",19.4423842955439,21.004018037655,-1.56163374211108,0.201509949027893,0.0969032240067783,0.0014802501029327,0.0220065702890748,0.338767236504846,"Higher in Soil control",2239,0.399,236.95926,"Unknown","[M+H]+",NA,FALSE,"null","null","null",211.99,152.361748833806,24
"F1376_mz175.1079_rt0.74","Plant-soil exudate","Soil control",12.6009530211728,13.6348241873786,-1.03387116620576,0.0121484308775484,0.077822839116333,0.00151829506971465,0.0220065702890748,0.488397876845733,"Higher in Soil control",1376,0.74,175.10789,"Unknown","[M+H]+","ion correlated with 2543; ion correlated with 817; ion correlated with 2371; ion correlated with 2929; ion correlated with 1006; ion correlated with 2017; similar chromatogram in higher mz_1877; similar chromatogram in higher mz_3649; similar chromatogram in higher mz_4281; similar chromatogram in higher mz_4380; similar chromatogram in higher mz_4498",TRUE,"null","null","null",494.31,3850223,17
"F1128_mz158.9222_rt0.44","Plant-soil exudate","Soil control",20.3339030221681,20.9480294375885,-0.614126415420344,0.105905443429234,0.0929627723304416,0.00176329894511184,0.0220065702890748,0.653325377133974,"Higher in Soil control",1128,0.438,158.92224,"Unknown","[M+H]+","similar chromatogram in higher mz_1776",FALSE,"null","null","null",94.98,819959,22
"F306_mz99.5314_rt0.41","Plant-soil exudate","Soil control",24.7265997393479,26.0914047601539,-1.36480502080602,0.23851291501946,0.245200963329234,0.00230668840967395,0.0220065702890748,0.388286910650439,"Higher in Soil control",306,0.406,99.53137,"Unknown","[M+2H]2+","ion correlated with 142; similar chromatogram in higher mz_4287; similar chromatogram in higher mz_2241; similar chromatogram in higher mz_3740; similar chromatogram in higher mz_4157; similar chromatogram in higher mz_4261; similar chromatogram in higher mz_3168; similar chromatogram in higher mz_4596; similar chromatogram in higher mz_4140",TRUE,"null","null","null",465.42,153.389389068349,24
"F723_mz130.017_rt0.39","Plant-soil exudate","Soil control",23.8176238798858,24.972518771389,-1.15489489150319,0.197082078796602,0.211429885995381,0.00232949851313668,0.0220065702890748,0.449098904646401,"Higher in Soil control",723,0.394,130.01697,"Unknown","[M+H]+",NA,FALSE,"null","null","null",950.49,59.6954708020467,24
"F783_mz134.0449_rt0.45","Plant-soil exudate","Soil control",16.1744342106787,13.0799949313747,3.09443927930403,0.391049954735445,0.581803882790034,0.00264765050369986,0.0220065702890748,8.54120297841872,"Higher in Plant-soil exudate",783,0.452,134.04491,"Unknown","[M+H]+","ion correlated with 387; ion correlated with 776; similar chromatogram in higher mz_2083; similar chromatogram in higher mz_4395; similar chromatogram in higher mz_3492; similar chromatogram in higher mz_3180",TRUE,"null","null","null",993.67,4014.74043062201,22
"F1707_mz198.8671_rt0.43","Plant-soil exudate","Soil control",14.6144460764201,18.1532955813261,-3.53884950490602,0.67810095395744,0.612933518060128,0.00266811909402392,0.0220065702890748,0.0860399499101975,"Higher in Soil control",1707,0.427,198.86711,"Unknown","[M+H]+","ion correlated with 2819",FALSE,"null","null","null",1264.03,131463,15
"F691_mz128.0194_rt0.4","Plant-soil exudate","Soil control",26.5546379420381,27.6696815418419,-1.11504359980375,0.215546627175184,0.193990049211655,0.00274484748441518,0.0220065702890748,0.461677202769708,"Higher in Soil control",691,0.395,128.01941,"Unknown","[M+H]+","ion correlated with 427; found in higher mz's MsMs_1037; found in higher mz's MsMs_964; found in higher mz's MsMs_1285",TRUE,"null","null","null",6753.87,232.88126321825,24
