"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_1","blank_2","blank_3","blank_4","exudate_1","exudate_2","exudate_3","FC_1","FC_2","FC_3","fungi_old_1","fungi_old_2","fungi_old_3","leaf_1","leaf_2","leaf_3","new_in_P08","new_in_P09","new_in_P10","new_out_P08","new_out_P09","new_out_P10","root_1","root_2","root_3","Soil_control_1","Soil_control_2","Soil_control_3","feature_name","blank_mean","maximum_biological_signal","sample_to_blank_ratio","present_in_any_group","number_detected","group1_n","group2_n","detection_category","RT_flag","MSMS_flag","annotation_flag"
50,0.587,70.0128,"Unknown","[M+H]+","ion correlated with 786",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",53.84,10485,29765,32415,0,184742,129267,179873,25152,31852,0,35981,36439,24045,0,0,0,0,0,0,0,0,0,28208,0,0,290543,429532,266440,"F50_mz70.0128_rt0.59",24221.6666666667,429532,17.7326883910387,TRUE,12,0,2,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
178,0.888,85.70918,"Unknown","[M+H]+","ion correlated with 185; similar chromatogram in higher mz_2492; similar chromatogram in higher mz_2105; similar chromatogram in higher mz_2436; similar chromatogram in higher mz_2856; similar chromatogram in higher mz_4742; similar chromatogram in higher mz_4791; similar chromatogram in higher mz_4814; similar chromatogram in higher mz_4830; similar chromatogram in higher mz_4846; similar chromatogram in higher mz_4883",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1378.13,0,0,0,0,0,0,0,21430,80959,239634,0,0,0,0,0,0,22264,0,0,103072,191476,28800,0,0,0,0,0,0,"F178_mz85.7092_rt0.89",0,239634,239635,TRUE,7,1,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
185,0.891,86.48576,"Unknown","[M+H]+","ion correlated with 178",0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",218.97,0,0,0,0,0,0,0,26155,71666,270097,0,0,0,0,0,0,0,0,30770,76040,142121,0,0,0,0,0,0,0,"F185_mz86.4858_rt0.89",0,270097,270098,TRUE,6,1,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
203,0.378,89.00842,"Unknown","[M+H]+","ion correlated with 2461; ion correlated with 2661; ion correlated with 538; ion correlated with 3508",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",94.02,0,0,2525,0,33040,16737,49630,7634,4214,3406,0,2745,0,971202,904802,711532,0,0,0,0,0,4980,214971,95558,119577,65062,58894,39253,"F203_mz89.0084_rt0.38",841.666666666667,971202,1152.5352056962,TRUE,17,0,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
237,0.391,93.98428,"Unknown","[M+H]+","ion correlated with 494; ion correlated with 849",0.214,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1676.01,0,0,0,0,240445,168131,151272,10038,9046,31471,20317,0,12190,9366,46140,0,0,8611,0,18043,7603,19146,23035,14853,18216,425353,633310,422470,"F237_mz93.9843_rt0.39",0,633310,633311,TRUE,20,1,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
253,0.437,96.92208,"Unknown","[M+H]+","ion correlated with 4108; ion correlated with 3182; ion correlated with 3057; similar chromatogram in higher mz_2537; similar chromatogram in higher mz_2316; similar chromatogram in higher mz_2759; similar chromatogram in higher mz_468; similar chromatogram in higher mz_1380; similar chromatogram in higher mz_1840",0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",70.76,0,0,0,0,0,0,0,22020,20925,0,86308,188818,161235,0,0,16446,0,0,6288,0,0,18711,0,0,0,36312,0,0,"F253_mz96.9221_rt0.44",0,188818,188819,TRUE,9,1,2,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
316,0.695,100.59153,"Unknown","[M+H]+","similar chromatogram in higher mz_2141; similar chromatogram in higher mz_2888; similar chromatogram in higher mz_2923",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",18.94,0,0,0,0,0,0,0,0,102389,67188,0,0,0,0,0,0,0,0,25128,37273,39120,0,0,0,0,0,0,0,"F316_mz100.5915_rt0.7",0,102389,102390,TRUE,5,1,2,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
342,0.726,102.53078,"Unknown","[M+H]+","similar chromatogram in higher mz_393; similar chromatogram in higher mz_929; similar chromatogram in higher mz_1062; similar chromatogram in higher mz_1891; similar chromatogram in higher mz_1298; similar chromatogram in higher mz_2722; similar chromatogram in higher mz_3010; similar chromatogram in higher mz_3244; similar chromatogram in higher mz_4865",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9.25,2791,27514,19837,0,39716,31979,20984,71762,35756,55742,103260,52240,0,0,0,0,0,27856,0,39097,20938,0,0,0,0,39736,25762,28378,"F342_mz102.5308_rt0.73",16714,103260,6.17774454083159,TRUE,14,1,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
376,3.544,105.06998,"Unknown","[M+H]+","ion correlated with 1041; ion correlated with 779; ion correlated with 2014; ion correlated with 2157; ion correlated with 741; ion correlated with 1141; ion correlated with 1166; ion correlated with 1379; ion correlated with 1521; ion correlated with 1546; ion correlated with 1893; ion correlated with 2293; ion correlated with 2563; ion correlated with 3959; ion correlated with 3318; ion correlated with 3338; ion correlated with 956; ion correlated with 397; ion correlated with 597; ion correlated with 625; ion correlated with 1019; ion correlated with 1190; ion correlated with 1257; ion correlated with 1349; ion correlated with 1630; ion correlated with 1752; ion correlated with 2317; ion correlated with 2448; ion correlated with 2474; ion correlated with 2676; ion correlated with 2746; ion correlated with 2954; ion correlated with 3083; ion correlated with 3098; ion correlated with 3118; ion correlated with 3504; ion correlated with 3745; ion correlated with 5005; ion correlated with 5013; ion correlated with 5038; ion correlated with 5047; ion correlated with 4092; ion correlated with 3515; ion correlated with 3942; ion correlated with 4987; found in higher mz's MsMs_3115; found in higher mz's MsMs_3702; found in higher mz's MsMs_3318; found in higher mz's MsMs_2676; found in higher mz's MsMs_5005; found in higher mz's MsMs_3847; found in higher mz's MsMs_3515; found in higher mz's MsMs_2474; found in higher mz's MsMs_2746; found in higher mz's MsMs_2954; found in higher mz's MsMs_2448; found in higher mz's MsMs_1190; found in higher mz's MsMs_3083; found in higher mz's MsMs_3504",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",26,0,0,1641,0,1264,0,0,0,1601,1918,346,0,1698,85229,85400,255434,0,0,0,0,0,1688,2476,0,0,0,1419,0,"F376_mz105.07_rt3.54",547,255434,466.122262773723,TRUE,11,0,2,"Fungal control-associated detection","RT >= 1 min","No MS/MS assignment","Unknown"
380,0.385,105.4921,"Unknown","[M+H]+","ion correlated with 237; ion correlated with 371; ion correlated with 4537; ion correlated with 1353; ion correlated with 494",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",238.51,0,0,0,0,120692,52126,89526,20282,13829,12482,17381,3772,0,0,0,24938,0,0,0,0,10150,13655,13522,25074,10909,201076,286720,236981,"F380_mz105.4921_rt0.38",0,286720,286721,TRUE,17,0,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
422,0.4,109.52167,"Unknown","[M+H]+","ion correlated with 3029; ion correlated with 538; ion correlated with 2384; ion correlated with 2798",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",41.67,0,0,2595,0,21720,35687,20692,3039,0,0,0,2781,2606,548498,462588,479883,8311,2503,0,10914,19338,0,356528,152126,157086,12886,3586,6330,"F422_mz109.5217_rt0.4",865,548498,633.370669745958,TRUE,19,2,1,"Fungal in-associated detection","Very early RT","No MS/MS assignment","Unknown"
470,0.397,112.96694,"Unknown","[M+H]+","ion correlated with 275; ion correlated with 1473; ion correlated with 2692; ion correlated with 1657",0.321,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",102.04,56474,0,2243,0,112996,68703,112606,0,5241,13868,0,0,0,3151294,2399172,2229252,0,0,2908,5098,0,2743,968762,593078,835245,184628,271282,91606,"F470_mz112.9669_rt0.4",19572.3333333333,3151294,160.999403950954,TRUE,17,1,2,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
494,0.399,114.49761,"Unknown","[M+H]+","ion correlated with 237; ion correlated with 4537; ion correlated with 1353; ion correlated with 528; ion correlated with 849",0.179,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",124.88,0,0,0,0,130906,89944,148954,18925,22972,9777,8978,0,0,0,0,0,0,7710,0,0,11649,11671,56084,17608,24674,382673,468452,252623,"F494_mz114.4976_rt0.4",0,468452,468453,TRUE,16,1,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
496,0.704,114.59486,"Unknown","[M+H]+","ion correlated with 4951; ion correlated with 3184; ion correlated with 2073; ion correlated with 3474; similar chromatogram in higher mz_1617; similar chromatogram in higher mz_2134; similar chromatogram in higher mz_3649; similar chromatogram in higher mz_4281; similar chromatogram in higher mz_4380",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",8.66,0,0,0,0,0,0,0,63919,99366,114951,0,0,0,0,0,0,0,0,0,21062,62453,61784,0,0,0,0,0,0,"F496_mz114.5949_rt0.7",0,114951,114952,TRUE,6,0,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
508,0.491,115.46633,"Unknown","[M+H]+","ion correlated with 525; similar chromatogram in higher mz_2140; similar chromatogram in higher mz_4811",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1304.18,0,0,0,0,0,0,0,63459,153166,222708,0,0,0,0,0,0,38131,0,0,90409,185011,37893,0,0,0,0,0,3320,"F508_mz115.4663_rt0.49",0,222708,222709,TRUE,8,1,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
532,2.079,117.07005,"Unknown","[M+H]+","ion correlated with 2502; ion correlated with 395; ion correlated with 378; ion correlated with 957; ion correlated with 1497; ion correlated with 1629; ion correlated with 1658; ion correlated with 2022; ion correlated with 1838; ion correlated with 2911; ion correlated with 1351; ion correlated with 1570; ion correlated with 1694; ion correlated with 1719; ion correlated with 1894; ion correlated with 2137; ion correlated with 4946; ion correlated with 596; ion correlated with 1191; ion correlated with 2158; ion correlated with 4919; ion correlated with 2500; ion correlated with 3522; ion correlated with 3926; ion correlated with 4888; ion correlated with 2562; ion correlated with 56; ion correlated with 1140; ion correlated with 1167; ion correlated with 1258; ion correlated with 1468; ion correlated with 2582; ion correlated with 5039; ion correlated with 3509; ion correlated with 2347; ion correlated with 3777; ion correlated with 5027; ion correlated with 4470; ion correlated with 3472; ion correlated with 3586; found in higher mz's MsMs_3323; found in higher mz's MsMs_1751; found in higher mz's MsMs_3520; found in higher mz's MsMs_3703; found in higher mz's MsMs_2674; found in higher mz's MsMs_3079; found in higher mz's MsMs_5004; found in higher mz's MsMs_2381; found in higher mz's MsMs_2950; found in higher mz's MsMs_3851",0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",13.2,0,369,3778,0,0,1541,1581,3757,2608,10107,2918,1684,3054,158236,81511,142167,2302,0,0,1851,9521,5703,2832,0,0,3006,1308,0,"F532_mz117.07_rt2.08",1382.33333333333,158236,114.388192771084,TRUE,18,1,3,"Fungal control-associated detection","RT >= 1 min","No MS/MS assignment","Unknown"
537,0.647,117.46486,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",87.97,0,0,0,0,0,0,0,25956,119390,228056,0,0,0,0,0,0,0,0,0,0,67900,28228,0,0,0,0,0,0,"F537_mz117.4649_rt0.65",0,228056,228057,TRUE,5,0,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
563,0.512,118.97524,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",124.65,228232,21188,20096,0,10177,14466,24378,143111,0,113679,81708,60578,0,457673,276587,402130,0,0,0,52216,0,46373,36997,0,98480,3707,3912,9364,"F563_mz118.9752_rt0.51",89838.6666666667,457673,5.09434214285449,TRUE,17,0,2,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
610,0.446,122.08138,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23.54,7748,12934,5173,0,21385,50613,25442,240411,0,0,50569,0,0,0,0,0,18485,36938,0,0,169131,107097,0,18449,15379,210114,56903,79828,"F610_mz122.0814_rt0.45",8618.33333333333,240411,27.8921803697115,TRUE,14,2,1,"Fungal in-associated detection","Very early RT","No MS/MS assignment","Unknown"
620,0.55,123.04429,"Unknown","[M+H]+","found in higher mz's MsMs_1476",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",24.6,47118,77230,61348,0,65688,68485,65678,0,0,475482,23589,0,0,0,0,0,25300,330972,199781,194808,0,0,0,0,0,94950,102522,83798,"F620_mz123.0443_rt0.55",61898.6666666667,475482,7.68151147825244,TRUE,12,3,1,"Fungal in-associated detection","Early RT","No MS/MS assignment","Unknown"
621,0.492,123.05533,"Unknown","[M+H]+","similar chromatogram in higher mz_2790; similar chromatogram in higher mz_1607; similar chromatogram in higher mz_1236; similar chromatogram in higher mz_3687; similar chromatogram in higher mz_4399; similar chromatogram in higher mz_3915; similar chromatogram in higher mz_1500; similar chromatogram in higher mz_1884; similar chromatogram in higher mz_3859",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23.25,53900,59783,53480,0,55415,66346,75540,0,0,0,718063,695195,581209,183993,197018,252652,226855,96728,199781,100166,50650,0,108854,159592,214971,70146,79865,57643,"F621_mz123.0553_rt0.49",55721,718063,12.8865439144324,TRUE,20,3,0,"Fungal in-associated detection","Very early RT","No MS/MS assignment","Unknown"
