"feature_name","group_1","group_2","group_1_mean","group_2_mean","log2_fold_change","group_1_sd","group_2_sd","p_value","adjusted_p_value","fold_change","direction","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected"
"F3005_mz294.0038_rt0.46","Fungal agar in","Fungal control",16.2556340454887,9.71798424129373,6.53764980419501,0.0977498109124767,0.144339410294911,1.53133826686375e-06,0.0038103359534,92.9027762136385,"Higher in Fungal agar in",3005,0.456,294.00385,"Unknown","[M+H]+",NA,FALSE,"null","null","null",648.96,142337,13
"F2603_mz265.9678_rt1.25","Fungal agar in","Fungal control",17.0259384825837,11.790944970769,5.23499351181469,0.107143714830243,0.144473759614236,2.25646816572317e-06,0.0038103359534,37.6608462197254,"Higher in Fungal agar in",2603,1.247,265.9678,"Unknown","[M+H]+","ion correlated with 2946; ion correlated with 3235; ion correlated with 1768; ion correlated with 2002; ion correlated with 488; ion correlated with 4899",TRUE,"null","null","null",340.17,1103752,9
"F4119_mz398.2418_rt2.14","Fungal agar in","Fungal control",10.449137623698,19.6648197290419,-9.21568210534392,0.280106281067725,0.217229248676342,2.75844784271236e-06,0.0038103359534,0.001681911948218,"Higher in Fungal control",4119,2.14,398.24185,"Unknown","[M+H]+","ion correlated with 4179; ion correlated with 4264",TRUE,"null","null","null",856.96,5221.85114754098,9
"F5144_mz783.2145_rt0.48","Fungal agar in","Fungal control",16.9395176945025,9.63744147702082,7.30207621748169,0.219890275328363,0.144329291862381,5.26598372569876e-06,0.00545555913982392,157.813434712253,"Higher in Fungal agar in",5144,0.481,783.21448,"Unknown","[M+H]+",NA,FALSE,"null","null","null",45.94,162880,9
"F2076_mz223.944_rt0.68","Fungal agar in","Fungal control",17.1247742048476,9.09151058158772,8.03326362325992,0.255881812151986,0.14424357972351,1.31641149943529e-05,0.0109104185073197,261.971057776517,"Higher in Fungal agar in",2076,0.679,223.944,"Unknown","[M+H]+","ion correlated with 2921",FALSE,"null","null","null",26.92,72.6837410805301,14
"F4220_mz414.046_rt0.46","Fungal agar in","Fungal control",16.5140943678313,13.4662210480067,3.04787331982469,0.0938544653187745,0.144502531748191,2.62050095948541e-05,0.0142296545383873,8.26991969294034,"Higher in Fungal agar in",4220,0.457,414.04596,"Unknown","[M+H]+",NA,FALSE,"null","null","null",4680.19,272589,7
"F3431_mz328.1871_rt1.08","Fungal agar in","Fungal control",15.7496244333797,16.5792954250157,-0.829670991636005,0.0453274764166086,0.0341427680617499,2.67358557702528e-05,0.0142296545383873,0.562657542453284,"Higher in Fungal control",3431,1.081,328.1871,"Unknown","[M+H]+","ion correlated with 3362; ion correlated with 4293; ion correlated with 3969; ion correlated with 3174; ion correlated with 3629; ion correlated with 4585; ion correlated with 4081; ion correlated with 3921; ion correlated with 4090; ion correlated with 4127; ion correlated with 1681; ion correlated with 4361; ion correlated with 4335; ion correlated with 3759; ion correlated with 3584; ion correlated with 2671",FALSE,"null","null","null",48.68,67.440473840079,21
"F2830_mz281.1612_rt0.79","Fungal agar in","Fungal control",10.8749871977487,16.0513679067517,-5.176380709003,0.280160251498547,0.313448932261613,3.15335121588018e-05,0.0142296545383873,0.0276537567029865,"Higher in Fungal control",2830,0.787,281.16119,"Unknown","[M+H]+","ion correlated with 4437; ion correlated with 4045",FALSE,"null","null","null",27.18,172199,8
"F4697_mz530.8503_rt0.42","Fungal agar in","Fungal control",15.3333618258736,13.3078030276737,2.0255587981999,0.113601270852381,0.0827595948659049,3.2185544595369e-05,0.0142296545383873,4.07149547292449,"Higher in Fungal agar in",4697,0.417,530.85028,"Unknown","[M+H]+","ion correlated with 4405; ion correlated with 2397",FALSE,"null","null","null",3597.39,180047,19
"F917_mz143.1183_rt0.67","Fungal agar in","Fungal control",10.6213438871331,16.56620828572,-5.94486439858692,0.280130038840759,0.356259238514555,3.43379694459153e-05,0.0142296545383873,0.0162336992509135,"Higher in Fungal control",917,0.668,143.1183,"Unknown","[M+H]+","ion correlated with 1390; ion correlated with 1386",FALSE,"null","null","null",73.43,373125,10
