"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_1","blank_2","blank_3","blank_4","exudate_1","exudate_2","exudate_3","FC_1","FC_2","FC_3","fungi_old_1","fungi_old_2","fungi_old_3","leaf_1","leaf_2","leaf_3","new_in_P08","new_in_P09","new_in_P10","new_out_P08","new_out_P09","new_out_P10","root_1","root_2","root_3","Soil_control_1","Soil_control_2","Soil_control_3","feature_name","blank_mean","maximum_biological_signal","sample_to_blank_ratio","present_in_any_group","number_detected","group1_n","group2_n","detection_category","RT_flag","MSMS_flag","annotation_flag"
50,0.587,70.0128,"Unknown","[M+H]+","ion correlated with 786",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",53.84,10485,29765,32415,0,184742,129267,179873,25152,31852,0,35981,36439,24045,0,0,0,0,0,0,0,0,0,28208,0,0,290543,429532,266440,"F50_mz70.0128_rt0.59",24221.6666666667,429532,17.7326883910387,TRUE,12,0,2,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
203,0.378,89.00842,"Unknown","[M+H]+","ion correlated with 2461; ion correlated with 2661; ion correlated with 538; ion correlated with 3508",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",94.02,0,0,2525,0,33040,16737,49630,7634,4214,3406,0,2745,0,971202,904802,711532,0,0,0,0,0,4980,214971,95558,119577,65062,58894,39253,"F203_mz89.0084_rt0.38",841.666666666667,971202,1152.5352056962,TRUE,17,1,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
253,0.437,96.92208,"Unknown","[M+H]+","ion correlated with 4108; ion correlated with 3182; ion correlated with 3057; similar chromatogram in higher mz_2537; similar chromatogram in higher mz_2316; similar chromatogram in higher mz_2759; similar chromatogram in higher mz_468; similar chromatogram in higher mz_1380; similar chromatogram in higher mz_1840",0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",70.76,0,0,0,0,0,0,0,22020,20925,0,86308,188818,161235,0,0,16446,0,0,6288,0,0,18711,0,0,0,36312,0,0,"F253_mz96.9221_rt0.44",0,188818,188819,TRUE,9,1,2,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
275,0.398,98.01379,"Unknown","[M+2H]2+","ion correlated with 470; ion correlated with 1473; ion correlated with 1133; ion correlated with 1657",0.214,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",194.51,31908,5826,2446,0,74047,54360,125928,16896,17626,2830,15541,0,6756,3928868,2969669,2700519,5873,7113,7854,2854,0,0,1235024,895718,1059249,319543,372986,172751,"F275_mz98.0138_rt0.4",13393.3333333333,3928868,293.323221262723,TRUE,21,1,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
376,3.544,105.06998,"Unknown","[M+H]+","ion correlated with 1041; ion correlated with 779; ion correlated with 2014; ion correlated with 2157; ion correlated with 741; ion correlated with 1141; ion correlated with 1166; ion correlated with 1379; ion correlated with 1521; ion correlated with 1546; ion correlated with 1893; ion correlated with 2293; ion correlated with 2563; ion correlated with 3959; ion correlated with 3318; ion correlated with 3338; ion correlated with 956; ion correlated with 397; ion correlated with 597; ion correlated with 625; ion correlated with 1019; ion correlated with 1190; ion correlated with 1257; ion correlated with 1349; ion correlated with 1630; ion correlated with 1752; ion correlated with 2317; ion correlated with 2448; ion correlated with 2474; ion correlated with 2676; ion correlated with 2746; ion correlated with 2954; ion correlated with 3083; ion correlated with 3098; ion correlated with 3118; ion correlated with 3504; ion correlated with 3745; ion correlated with 5005; ion correlated with 5013; ion correlated with 5038; ion correlated with 5047; ion correlated with 4092; ion correlated with 3515; ion correlated with 3942; ion correlated with 4987; found in higher mz's MsMs_3115; found in higher mz's MsMs_3702; found in higher mz's MsMs_3318; found in higher mz's MsMs_2676; found in higher mz's MsMs_5005; found in higher mz's MsMs_3847; found in higher mz's MsMs_3515; found in higher mz's MsMs_2474; found in higher mz's MsMs_2746; found in higher mz's MsMs_2954; found in higher mz's MsMs_2448; found in higher mz's MsMs_1190; found in higher mz's MsMs_3083; found in higher mz's MsMs_3504",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",26,0,0,1641,0,1264,0,0,0,1601,1918,346,0,1698,85229,85400,255434,0,0,0,0,0,1688,2476,0,0,0,1419,0,"F376_mz105.07_rt3.54",547,255434,466.122262773723,TRUE,11,1,2,"Fungal control-associated detection","RT >= 1 min","No MS/MS assignment","Unknown"
422,0.4,109.52167,"Unknown","[M+H]+","ion correlated with 3029; ion correlated with 538; ion correlated with 2384; ion correlated with 2798",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",41.67,0,0,2595,0,21720,35687,20692,3039,0,0,0,2781,2606,548498,462588,479883,8311,2503,0,10914,19338,0,356528,152126,157086,12886,3586,6330,"F422_mz109.5217_rt0.4",865,548498,633.370669745958,TRUE,19,2,1,"Fungal out-associated detection","Very early RT","No MS/MS assignment","Unknown"
513,0.456,116.01108,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",5.06,18710,49888,51269,0,221937,242453,188589,62072,0,1587,9157,524424,48331,0,0,14065,0,135109,51754,148298,0,0,2083,8813,93458,57980,78546,115811,"F513_mz116.0111_rt0.46",39955.6666666667,524424,13.1248435805456,TRUE,18,1,2,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
522,0.742,116.10715,"Unknown","[M+H]+","ion correlated with 1619; ion correlated with 2416; ion correlated with 2174; similar chromatogram in higher mz_1298; similar chromatogram in higher mz_2081; similar chromatogram in higher mz_560; similar chromatogram in higher mz_1371",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",153.97,76644,34185,27325,0,25954,27302,20136,19922,0,0,11121,0,0,808609,629744,1407796,0,0,0,15470,0,17331,0,0,0,26579,20493,18142,"F522_mz116.1072_rt0.74",46051.3333333333,1407796,30.5695042596466,TRUE,13,2,1,"Fungal out-associated detection","Early RT","No MS/MS assignment","Unknown"
560,0.737,118.12287,"Unknown","[M+H]+","ion correlated with 2416; similar chromatogram in higher mz_4075; similar chromatogram in higher mz_1574",0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",58.04,6022,36600,32579,0,28046,26313,32036,0,0,33144,17940,0,10942,352038,160126,433285,0,0,60537,19216,13974,17311,0,35991,21544,36877,48996,25316,"F560_mz118.1229_rt0.74",25067,433285,17.2844263603,TRUE,18,3,1,"Fungal out-associated detection","Early RT","No MS/MS assignment","Unknown"
610,0.446,122.08138,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23.54,7748,12934,5173,0,21385,50613,25442,240411,0,0,50569,0,0,0,0,0,18485,36938,0,0,169131,107097,0,18449,15379,210114,56903,79828,"F610_mz122.0814_rt0.45",8618.33333333333,240411,27.8921803697115,TRUE,14,2,1,"Fungal out-associated detection","Very early RT","No MS/MS assignment","Unknown"
