"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_1","blank_2","blank_3","blank_4","exudate_1","exudate_2","exudate_3","FC_1","FC_2","FC_3","fungi_old_1","fungi_old_2","fungi_old_3","leaf_1","leaf_2","leaf_3","new_in_P08","new_in_P09","new_in_P10","new_out_P08","new_out_P09","new_out_P10","root_1","root_2","root_3","Soil_control_1","Soil_control_2","Soil_control_3","feature_name","blank_mean","maximum_biological_signal","sample_to_blank_ratio","present_in_any_group","number_detected","group1_n","group2_n","detection_category","RT_flag","MSMS_flag","annotation_flag"
34,0.43,66.06852,"Unknown","[M+H]+","ion correlated with 3168; ion correlated with 4047; ion correlated with 4261; ion correlated with 4157; ion correlated with 3928",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",58.74,0,0,0,0,0,0,0,94805,115274,109540,46984,0,0,0,0,0,34670,58975,57519,112537,144319,157000,0,0,0,0,0,0,"F34_mz66.0685_rt0.43",0,157000,157001,TRUE,10,1,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
89,0.458,75.02646,"Unknown","[M+H]+","ion correlated with 4643; similar chromatogram in higher mz_1778; found in higher mz's MsMs_1228; similar chromatogram in higher mz_2009; similar chromatogram in higher mz_1094; similar chromatogram in higher mz_2033; similar chromatogram in higher mz_2987; similar chromatogram in higher mz_1562",0.214,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",28.16,5305,0,3020,0,3576,3111,2714,194773,143596,184464,89935,0,0,0,0,0,43793,105331,44828,100828,257858,151415,0,7292,0,0,0,4795,"F89_mz75.0265_rt0.46",2775,257858,92.8886887608069,TRUE,15,1,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
90,0.895,75.03127,"Unknown","[M+H]+","ion correlated with 4828; ion correlated with 2492; ion correlated with 4044; ion correlated with 4735; ion correlated with 2237; ion correlated with 4194; ion correlated with 4252; ion correlated with 845; similar chromatogram in higher mz_748; similar chromatogram in higher mz_769; similar chromatogram in higher mz_185; similar chromatogram in higher mz_398; similar chromatogram in higher mz_762; similar chromatogram in higher mz_1656; similar chromatogram in higher mz_3012; similar chromatogram in higher mz_4139; similar chromatogram in higher mz_4352; similar chromatogram in higher mz_4447; similar chromatogram in higher mz_4853; similar chromatogram in higher mz_4894",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",35.99,0,0,1832,0,1966,0,0,128206,166739,241472,87965,0,0,0,0,0,50992,84363,42602,136104,195443,209736,0,0,0,0,0,0,"F90_mz75.0313_rt0.9",610.666666666667,241472,394.778746594005,TRUE,11,1,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
95,0.954,77.03831,"Unknown","[M+H]+","ion correlated with 398; ion correlated with 4054; ion correlated with 3651; ion correlated with 2349; ion correlated with 3806; ion correlated with 3628; ion correlated with 3900; ion correlated with 3785; ion correlated with 916; ion correlated with 3913; ion correlated with 3451; ion correlated with 2698; ion correlated with 61; ion correlated with 3613; ion correlated with 761; similar chromatogram in higher mz_1231; similar chromatogram in higher mz_583; similar chromatogram in higher mz_350; similar chromatogram in higher mz_737; similar chromatogram in higher mz_1015; similar chromatogram in higher mz_391; similar chromatogram in higher mz_3743; similar chromatogram in higher mz_570; similar chromatogram in higher mz_1114; similar chromatogram in higher mz_2028; similar chromatogram in higher mz_2305; similar chromatogram in higher mz_4074; similar chromatogram in higher mz_4435; similar chromatogram in higher mz_4644; similar chromatogram in higher mz_248; similar chromatogram in higher mz_236; similar chromatogram in higher mz_589; similar chromatogram in higher mz_4820",0.357,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",283.23,0,4542,1466,0,2460,0,0,546760,539140,795560,228918,0,0,24373,6762,0,185144,295529,238642,413488,553406,699797,0,0,0,1794,2534,0,"F95_mz77.0383_rt0.95",2002.66666666667,795560,397.052570287806,TRUE,15,1,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
178,0.888,85.70918,"Unknown","[M+H]+","ion correlated with 185; similar chromatogram in higher mz_2492; similar chromatogram in higher mz_2105; similar chromatogram in higher mz_2436; similar chromatogram in higher mz_2856; similar chromatogram in higher mz_4742; similar chromatogram in higher mz_4791; similar chromatogram in higher mz_4814; similar chromatogram in higher mz_4830; similar chromatogram in higher mz_4846; similar chromatogram in higher mz_4883",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1378.13,0,0,0,0,0,0,0,21430,80959,239634,0,0,0,0,0,0,22264,0,0,103072,191476,28800,0,0,0,0,0,0,"F178_mz85.7092_rt0.89",0,239634,239635,TRUE,7,0,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
185,0.891,86.48576,"Unknown","[M+H]+","ion correlated with 178",0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",218.97,0,0,0,0,0,0,0,26155,71666,270097,0,0,0,0,0,0,0,0,30770,76040,142121,0,0,0,0,0,0,0,"F185_mz86.4858_rt0.89",0,270097,270098,TRUE,6,0,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
203,0.378,89.00842,"Unknown","[M+H]+","ion correlated with 2461; ion correlated with 2661; ion correlated with 538; ion correlated with 3508",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",94.02,0,0,2525,0,33040,16737,49630,7634,4214,3406,0,2745,0,971202,904802,711532,0,0,0,0,0,4980,214971,95558,119577,65062,58894,39253,"F203_mz89.0084_rt0.38",841.666666666667,971202,1152.5352056962,TRUE,17,1,3,"Fungal control-associated detection","Very early RT","No MS/MS assignment","Unknown"
224,0.518,90.52607,"Unknown","[M+H]+","ion correlated with 197; ion correlated with 692",0.036,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",28.33,173934,411016,391590,0,943316,679728,735855,50742,0,0,8405,228342,36420,0,0,0,0,0,0,0,0,0,0,0,0,1851068,1792596,1235762,"F224_mz90.5261_rt0.52",325513.333333333,1851068,5.68659751797924,TRUE,10,3,1,"Fungi old-associated detection","Early RT","MS/MS available","Unknown"
236,0.952,93.07007,"Unknown","[M+H]+","found in higher mz's MsMs_583; found in higher mz's MsMs_1015",0.214,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",81.77,0,2545,2016,0,6248,5577,3138,321381,381203,237793,92741,0,0,84533,24494,37722,55161,47625,36926,179584,165212,117120,0,0,0,4582,3870,3977,"F236_mz93.0701_rt0.95",1520.33333333333,381203,250.572304995618,TRUE,19,1,3,"Fungal control-associated detection","Early RT","No MS/MS assignment","Unknown"
279,0.486,98.09657,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",693.24,83554,43798,26808,0,36374,33536,36226,0,29765,0,35717,29612,9212,4263239,11101990,8262273,0,34708,0,0,0,0,16070,44794,88937,39001,38652,40207,"F279_mz98.0966_rt0.49",51386.6666666667,11101990,216.043882124764,TRUE,17,3,1,"Fungi old-associated detection","Very early RT","MS/MS available","Unknown"
