"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_1","blank_2","blank_3","blank_4","exudate_1","exudate_2","exudate_3","FC_1","FC_2","FC_3","fungi_old_1","fungi_old_2","fungi_old_3","leaf_1","leaf_2","leaf_3","new_in_P08","new_in_P09","new_in_P10","new_out_P08","new_out_P09","new_out_P10","root_1","root_2","root_3","Soil_control_1","Soil_control_2","Soil_control_3","feature_name","blank_mean","maximum_biological_signal","sample_to_blank_ratio","present_in_any_group","number_detected","group1_n","group2_n","detection_category","RT_flag","MSMS_flag","annotation_flag"
34,0.43,66.06852,"Unknown","[M+H]+","ion correlated with 3168; ion correlated with 4047; ion correlated with 4261; ion correlated with 4157; ion correlated with 3928",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",58.74,0,0,0,0,0,0,0,94805,115274,109540,46984,0,0,0,0,0,34670,58975,57519,112537,144319,157000,0,0,0,0,0,0,"F34_mz66.0685_rt0.43",0,157000,157001,TRUE,10,1,3,"Fungal in-associated detection","Very early RT","No MS/MS assignment","Unknown"
50,0.587,70.0128,"Unknown","[M+H]+","ion correlated with 786",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",53.84,10485,29765,32415,0,184742,129267,179873,25152,31852,0,35981,36439,24045,0,0,0,0,0,0,0,0,0,28208,0,0,290543,429532,266440,"F50_mz70.0128_rt0.59",24221.6666666667,429532,17.7326883910387,TRUE,12,3,0,"Fungi old-associated detection","Early RT","No MS/MS assignment","Unknown"
89,0.458,75.02646,"Unknown","[M+H]+","ion correlated with 4643; similar chromatogram in higher mz_1778; found in higher mz's MsMs_1228; similar chromatogram in higher mz_2009; similar chromatogram in higher mz_1094; similar chromatogram in higher mz_2033; similar chromatogram in higher mz_2987; similar chromatogram in higher mz_1562",0.214,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",28.16,5305,0,3020,0,3576,3111,2714,194773,143596,184464,89935,0,0,0,0,0,43793,105331,44828,100828,257858,151415,0,7292,0,0,0,4795,"F89_mz75.0265_rt0.46",2775,257858,92.8886887608069,TRUE,15,1,3,"Fungal in-associated detection","Very early RT","No MS/MS assignment","Unknown"
90,0.895,75.03127,"Unknown","[M+H]+","ion correlated with 4828; ion correlated with 2492; ion correlated with 4044; ion correlated with 4735; ion correlated with 2237; ion correlated with 4194; ion correlated with 4252; ion correlated with 845; similar chromatogram in higher mz_748; similar chromatogram in higher mz_769; similar chromatogram in higher mz_185; similar chromatogram in higher mz_398; similar chromatogram in higher mz_762; similar chromatogram in higher mz_1656; similar chromatogram in higher mz_3012; similar chromatogram in higher mz_4139; similar chromatogram in higher mz_4352; similar chromatogram in higher mz_4447; similar chromatogram in higher mz_4853; similar chromatogram in higher mz_4894",0.143,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",35.99,0,0,1832,0,1966,0,0,128206,166739,241472,87965,0,0,0,0,0,50992,84363,42602,136104,195443,209736,0,0,0,0,0,0,"F90_mz75.0313_rt0.9",610.666666666667,241472,394.778746594005,TRUE,11,1,3,"Fungal in-associated detection","Early RT","No MS/MS assignment","Unknown"
95,0.954,77.03831,"Unknown","[M+H]+","ion correlated with 398; ion correlated with 4054; ion correlated with 3651; ion correlated with 2349; ion correlated with 3806; ion correlated with 3628; ion correlated with 3900; ion correlated with 3785; ion correlated with 916; ion correlated with 3913; ion correlated with 3451; ion correlated with 2698; ion correlated with 61; ion correlated with 3613; ion correlated with 761; similar chromatogram in higher mz_1231; similar chromatogram in higher mz_583; similar chromatogram in higher mz_350; similar chromatogram in higher mz_737; similar chromatogram in higher mz_1015; similar chromatogram in higher mz_391; similar chromatogram in higher mz_3743; similar chromatogram in higher mz_570; similar chromatogram in higher mz_1114; similar chromatogram in higher mz_2028; similar chromatogram in higher mz_2305; similar chromatogram in higher mz_4074; similar chromatogram in higher mz_4435; similar chromatogram in higher mz_4644; similar chromatogram in higher mz_248; similar chromatogram in higher mz_236; similar chromatogram in higher mz_589; similar chromatogram in higher mz_4820",0.357,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",283.23,0,4542,1466,0,2460,0,0,546760,539140,795560,228918,0,0,24373,6762,0,185144,295529,238642,413488,553406,699797,0,0,0,1794,2534,0,"F95_mz77.0383_rt0.95",2002.66666666667,795560,397.052570287806,TRUE,15,1,3,"Fungal in-associated detection","Early RT","No MS/MS assignment","Unknown"
224,0.518,90.52607,"Unknown","[M+H]+","ion correlated with 197; ion correlated with 692",0.036,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",28.33,173934,411016,391590,0,943316,679728,735855,50742,0,0,8405,228342,36420,0,0,0,0,0,0,0,0,0,0,0,0,1851068,1792596,1235762,"F224_mz90.5261_rt0.52",325513.333333333,1851068,5.68659751797924,TRUE,10,3,0,"Fungi old-associated detection","Early RT","MS/MS available","Unknown"
236,0.952,93.07007,"Unknown","[M+H]+","found in higher mz's MsMs_583; found in higher mz's MsMs_1015",0.214,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",81.77,0,2545,2016,0,6248,5577,3138,321381,381203,237793,92741,0,0,84533,24494,37722,55161,47625,36926,179584,165212,117120,0,0,0,4582,3870,3977,"F236_mz93.0701_rt0.95",1520.33333333333,381203,250.572304995618,TRUE,19,1,3,"Fungal in-associated detection","Early RT","No MS/MS assignment","Unknown"
237,0.391,93.98428,"Unknown","[M+H]+","ion correlated with 494; ion correlated with 849",0.214,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1676.01,0,0,0,0,240445,168131,151272,10038,9046,31471,20317,0,12190,9366,46140,0,0,8611,0,18043,7603,19146,23035,14853,18216,425353,633310,422470,"F237_mz93.9843_rt0.39",0,633310,633311,TRUE,20,2,1,"Fungi old-associated detection","Very early RT","No MS/MS assignment","Unknown"
253,0.437,96.92208,"Unknown","[M+H]+","ion correlated with 4108; ion correlated with 3182; ion correlated with 3057; similar chromatogram in higher mz_2537; similar chromatogram in higher mz_2316; similar chromatogram in higher mz_2759; similar chromatogram in higher mz_468; similar chromatogram in higher mz_1380; similar chromatogram in higher mz_1840",0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",70.76,0,0,0,0,0,0,0,22020,20925,0,86308,188818,161235,0,0,16446,0,0,6288,0,0,18711,0,0,0,36312,0,0,"F253_mz96.9221_rt0.44",0,188818,188819,TRUE,9,3,1,"Fungi old-associated detection","Very early RT","No MS/MS assignment","Unknown"
279,0.486,98.09657,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",693.24,83554,43798,26808,0,36374,33536,36226,0,29765,0,35717,29612,9212,4263239,11101990,8262273,0,34708,0,0,0,0,16070,44794,88937,39001,38652,40207,"F279_mz98.0966_rt0.49",51386.6666666667,11101990,216.043882124764,TRUE,17,3,1,"Fungi old-associated detection","Very early RT","MS/MS available","Unknown"
