"feature_name","group_1","group_2","group_1_mean","group_2_mean","log2_fold_change","group_1_sd","group_2_sd","p_value","adjusted_p_value","fold_change","direction","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected"
"F3203_mz308.0913_rt0.5","Leaf","Root",22.309258610876,15.2213649876109,7.08789362326516,0.0571864998609349,0.0519147847486576,1.08847480067013e-08,4.51063957397704e-05,136.040615029533,"Higher in Leaf",3203,0.499,308.09131,"Unknown","[M+H]+","ion correlated with 2176; ion correlated with 1621; ion correlated with 1879; ion correlated with 2202; ion correlated with 2771; ion correlated with 2231",TRUE,"null","null","null",5418.09,15676.761867399,7
"F4041_mz388.2333_rt1.18","Leaf","Root",16.4150934862791,10.7903178193928,5.62477566688633,0.0548860913412757,0.0518868566567856,2.27194499694504e-08,4.70747003367012e-05,49.3430731726342,"Higher in Leaf",4041,1.182,388.23328,"Unknown","[M+H]+","ion correlated with 3194; ion correlated with 4640; ion correlated with 3022; ion correlated with 2690; ion correlated with 4223; ion correlated with 5140; ion correlated with 4647; ion correlated with 4838; ion correlated with 4153; ion correlated with 4677; ion correlated with 3739; ion correlated with 4333; ion correlated with 4192; ion correlated with 4307; ion correlated with 2871; ion correlated with 3143; ion correlated with 4250; ion correlated with 4950; ion correlated with 4110; ion correlated with 4080; ion correlated with 4353; ion correlated with 4341; ion correlated with 4388; ion correlated with 2740; ion correlated with 4166; ion correlated with 4206; ion correlated with 4003; ion correlated with 4952; ion correlated with 3957; ion correlated with 4960; ion correlated with 3635; ion correlated with 4229; ion correlated with 4797; ion correlated with 4656; ion correlated with 4789; ion correlated with 4803; ion correlated with 4806; ion correlated with 3224; ion correlated with 4792; ion correlated with 4937; ion correlated with 4448; ion correlated with 1381; ion correlated with 1635; ion correlated with 4100; ion correlated with 2013; ion correlated with 3600; ion correlated with 4688; ion correlated with 3904; ion correlated with 4825; ion correlated with 4381; ion correlated with 1402; ion correlated with 3563; ion correlated with 4942; ion correlated with 2624; ion correlated with 4954",FALSE,"null","null","null",74.19,229460,5
"F4924_mz636.4237_rt6.76","Leaf","Root",15.1919090040131,10.5791347272058,4.61277427680728,0.0567184376948208,0.0518822401389334,5.74519937055225e-08,7.9360353971895e-05,24.4671520308415,"Higher in Leaf",4924,6.76,636.42371,"Unknown","[M+H]+","ion correlated with 2953; ion correlated with 4959",FALSE,"null","null","null",71.77,104448,4
"F2266_mz239.1129_rt0.48","Leaf","Root",19.6056860650414,15.4099437591441,4.19574230589733,0.0557390383927171,0.0519149510979236,7.7582880046296e-08,8.03758637279626e-05,18.325012862617,"Higher in Leaf",2266,0.482,239.11287,"Unknown","[M+H]+","ion correlated with 2200; ion correlated with 1822; ion correlated with 2220; ion correlated with 851; ion correlated with 2488",FALSE,"null","null","null",82.31,2190132,15
"F1654_mz195.0655_rt0.99","Leaf","Root",19.4735800454282,12.9973028206432,6.47627722478497,0.0751747595507118,0.0519097994805152,1.41280804677764e-07,0.000104552316533022,89.0335530176991,"Higher in Leaf",1654,0.992,195.06549,"Unknown","[M+H]+","ion correlated with 1904; ion correlated with 1114; ion correlated with 3191; ion correlated with 1405; ion correlated with 3171; ion correlated with 2793; ion correlated with 3608; ion correlated with 1217; ion correlated with 4207; ion correlated with 3309; ion correlated with 4658",TRUE,"null","null","null",104.54,318.280862282878,17
"F4415_mz449.1084_rt1.13","Leaf","Root",24.4114199099069,16.6848181623752,7.72660174753177,0.087488387656728,0.110813941827024,1.51378836679085e-07,0.000104552316533022,211.806308227356,"Higher in Leaf",4415,1.133,449.1084,"Unknown","[M+H]+",NA,TRUE,"null","null","null",649964.5,62892733,6
"F5012_mz691.4185_rt2.08","Leaf","Root",22.6920553012067,10.8581423999131,11.8339129012936,0.0957283104015278,0.0518882015875425,2.32138377631092e-07,0.000137425919557606,3650.58739046572,"Higher in Leaf",5012,2.08,691.41846,"Unknown","[M+H]+","ion correlated with 3520; ion correlated with 1751; ion correlated with 2381; ion correlated with 2674; ion correlated with 3323; ion correlated with 3503; ion correlated with 3746; ion correlated with 5004; ion correlated with 3703; ion correlated with 3079",TRUE,"null","null","null",1767.59,19479827,4
"F3252_mz312.9204_rt0.38","Leaf","Root",16.5831639359228,18.8853853497617,-2.30222141383894,0.040663176596386,0.0449762419260529,3.62592279992241e-07,0.000187822801035981,0.202750669878879,"Higher in Root",3252,0.384,312.92041,"Unknown","[M+H]+",NA,FALSE,"null","null","null",383.06,434104,24
"F3230_mz310.8283_rt0.45","Leaf","Root",16.7690754160379,14.1818976815804,2.58717773445749,0.0537261572956403,0.0519133518260375,4.69302655595376e-07,0.000216087800531915,6.00921997485762,"Higher in Leaf",3230,0.451,310.82828,"Unknown","[M+H]+","ion correlated with 4259; ion correlated with 3927; ion correlated with 4463; ion correlated with 4476; ion correlated with 4689; ion correlated with 4725; ion correlated with 4731; ion correlated with 4249; ion correlated with 998; ion correlated with 1872; ion correlated with 4124; ion correlated with 3142; ion correlated with 3708; ion correlated with 4171; ion correlated with 3533; ion correlated with 450",FALSE,"null","null","null",178.65,303430,9
"F4100_mz395.2045_rt1.21","Leaf","Root",18.3497695969443,12.4007054824491,5.94906411449517,0.0840433964264176,0.0519065509971333,5.67558041698623e-07,0.000235196052479909,61.7798350749417,"Higher in Leaf",4100,1.206,395.20453,"Unknown","[M+H]+","ion correlated with 4639; ion correlated with 2871; ion correlated with 3143; ion correlated with 4250; ion correlated with 739; ion correlated with 1189; ion correlated with 1870; ion correlated with 4952; ion correlated with 4960; ion correlated with 4590; ion correlated with 4726; ion correlated with 4792; ion correlated with 4062; ion correlated with 4516; ion correlated with 2872; ion correlated with 4909; ion correlated with 4954; ion correlated with 3495; ion correlated with 3284; ion correlated with 4031",FALSE,"null","null","null",5909.62,862996,4
