"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F1075_mz154.1227_rt0.83",-9.63591497705315,23.2134091897309,-62.5444664652051,2.31367824998868e-08,1.61585622522056e-05,7.53447439377284,1075,0.829,154.12271,"Unknown","[M+H]+","ion correlated with 1077",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",14195.71,88058,6971.56952724878,24,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F1077_mz154.1228_rt0.86",-9.69758496121559,23.1825741976496,-60.7940255107962,2.66203661486089e-08,1.61585622522056e-05,7.50408482185776,1077,0.863,154.12282,"Unknown","[M+H]+","ion correlated with 1075",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",28138.63,83837,7322.56782127436,24,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F1078_mz154.1228_rt0.5",-9.56834097167033,23.132742428089,-50.4776026432059,6.6702284903226e-08,2.69921912908388e-05,7.26714320945807,1078,0.497,154.12285,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23290.13,103532,5662.79428781162,18,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F3520_mz335.2222_rt2.06",-12.3523483671577,19.3262642935069,-46.4413408597259,1.00657618896999e-07,3.05495873352391e-05,7.13715744948435,3520,2.064,335.22223,"Unknown","[M+H]+","ion correlated with 3323",0.321,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1195.39,4194,27840.8965435042,21,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F3175_mz305.1767_rt1.34",-7.79661620324979,16.9888446081102,-41.5845838597622,1.7362655994482e-07,4.21565287546023e-05,6.9392747664231,3175,1.341,305.17673,"Unknown","[M+H]+","ion correlated with 1888",0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",514.84,1118,4207.87578194817,24,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F2516_mz258.9_rt0.42",6.65825108221238,17.6733688462625,37.9429771866334,2.72872166155649e-07,5.52111349521596e-05,6.75128296397463,2516,0.416,258.89999,"Unknown","[M+H]+",NA,0.75,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1156.86,0,2693151,24,"Exudate vs Leaf","Exudate","Exudate enriched - FDR supported"
"F1367_mz174.9384_rt0.42",6.21326421475421,15.7857261770578,36.558160940407,3.27782439545425e-07,5.68468402297352e-05,6.66854572582572,1367,0.416,174.93839,"Unknown","[M+H]+",NA,0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",96.08,0,702440,24,"Exudate vs Leaf","Exudate","Exudate enriched - FDR supported"
"F1079_mz154.1229_rt0.59",-6.44964158806225,21.5490868248621,-34.8941150616855,4.12411224829985e-07,6.25834033679503e-05,6.55945345348515,1079,0.59,154.12289,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",29.38,91015.3333333333,754.668513709993,21,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F3309_mz317.1389_rt1.04",-6.01630732524931,16.2837803940773,-32.9353750739738,5.48248409268658e-07,6.50180760967193e-05,6.41564277622482,3309,1.04,317.13889,"Unknown","[M+H]+","ion correlated with 1654; ion correlated with 1405; ion correlated with 3171; ion correlated with 3624; ion correlated with 2793; ion correlated with 3937; ion correlated with 3608; ion correlated with 1217; ion correlated with 4207; ion correlated with 4658; ion correlated with 4759; ion correlated with 1837; ion correlated with 799; ion correlated with 392; ion correlated with 4649; ion correlated with 819; ion correlated with 3463; ion correlated with 4722; ion correlated with 3491; ion correlated with 4603",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",235.42,0,1583828,19,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F135_mz81.017_rt0.52",-5.63865574668358,22.1176646424737,-32.3865580765887,5.95569541899563e-07,6.50180760967193e-05,6.372018949931,135,0.517,81.01697,"Unknown","[M+H]+","ion correlated with 137; found in higher mz's MsMs_1135",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",4666.81,1396171,59.4158434634128,24,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F3354_mz319.2272_rt2.82",-4.4865691676248,16.9891980739818,-32.0084783649014,6.31037664939736e-07,6.50180760967193e-05,6.34105142895847,3354,2.821,319.22717,"Unknown","[M+H]+","ion correlated with 2673; ion correlated with 3576; ion correlated with 3108; similar chromatogram in higher mz_4962",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",74.29,6651,193.172579675286,21,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F1099_mz156.1384_rt0.5",-10.9731973118784,19.759044606342,-31.8898793287706,6.42682795025232e-07,6.50180760967193e-05,6.33117908222824,1099,0.499,156.13838,"Unknown","[M+H]+","found in higher mz's MsMs_1942",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",6034.52,7618.33333333333,11987.6998425059,12,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F1215_mz165.0548_rt0.96",-5.64927134519547,16.8074191611066,-30.1506969592378,8.47110527712617e-07,7.80926572028876e-05,6.17717792634298,1215,0.962,165.05482,"Unknown","[M+H]+",NA,0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",109.83,3694.33333333333,443.207919898972,23,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F819_mz137.0599_rt1.08",-3.9551131663356,17.8416475373805,-28.5672077711512,1.10475170146944e-06,7.80926572028876e-05,6.02041503372486,819,1.084,137.05995,"Unknown","[M+H]+","ion correlated with 1217; ion correlated with 3309; ion correlated with 4658; ion correlated with 1837; ion correlated with 1403; ion correlated with 4557; ion correlated with 392; ion correlated with 4649; ion correlated with 3918; ion correlated with 3463; ion correlated with 4722; ion correlated with 4603; ion correlated with 3140; ion correlated with 4494; ion correlated with 3971; ion correlated with 4724; ion correlated with 2899; ion correlated with 3305; found in higher mz's MsMs_3918; found in higher mz's MsMs_4722; found in higher mz's MsMs_4649; found in higher mz's MsMs_3463; found in higher mz's MsMs_3664; found in higher mz's MsMs_4693",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",177.21,15959,124.062468671679,24,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F2233_mz236.105_rt0.91",-8.12298627387112,20.3897589205929,-28.4799731068069,1.12150330178933e-06,7.80926572028876e-05,6.01127503559456,2233,0.912,236.10497,"Unknown","[M+H]+",NA,0.607,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2064.43,41453.6666666667,1384.22063458879,24,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F1879_mz210.0974_rt0.48",-6.10971962903063,19.26702648564,-28.2292814074442,1.17136967630237e-06,7.80926572028876e-05,5.9846996305848,1879,0.478,210.09737,"Unknown","[M+H]+","ion correlated with 1657; ion correlated with 1621; ion correlated with 1901; ion correlated with 3203; ion correlated with 2771",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1078.43,5455.33333333333,2077.97238682876,15,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F364_mz104.1071_rt0.44",-8.42410414609947,22.3084150507645,-28.1952640769157,1.17833962530695e-06,7.80926572028876e-05,5.98105777949168,364,0.44,104.1071,"Unknown","[M+H]+","similar chromatogram in higher mz_1380; found in higher mz's MsMs_2511; found in higher mz's MsMs_2042; found in higher mz's MsMs_2316; similar chromatogram in higher mz_4515; similar chromatogram in higher mz_4613; similar chromatogram in higher mz_3095; similar chromatogram in higher mz_1008; similar chromatogram in higher mz_879; similar chromatogram in higher mz_3559; similar chromatogram in higher mz_3973",0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",15447.05,24680.3333333333,9645.38883636757,24,"Exudate vs Leaf","Leaf","Leaf enriched - FDR supported"
"F2031_mz220.9355_rt0.41",5.59815087770852,17.6705530064685,27.7359823671024,1.27750087526133e-06,7.80926572028876e-05,5.93103367251814,2031,0.408,220.93546,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",95.94,20968.6666666667,26.2835365369025,24,"Exudate vs Leaf","Exudate","Exudate enriched - FDR supported"
