"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F2223_mz235.0928_rt0.49",11.9199046485984,18.9838849087808,74.5248464793731,9.60256328831901e-09,1.06972555031874e-05,7.54888988376526,2223,0.486,235.09285,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",3339.32,0,19496869,21,"Exudate vs Root","Exudate","Exudate enriched - FDR supported"
"F1075_mz154.1227_rt0.83",-9.97587859485694,22.1027883164875,-51.5903802213898,5.91940804430107e-08,1.88608720618801e-05,7.17694243894646,1075,0.829,154.12271,"Unknown","[M+H]+","ion correlated with 1077",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",14195.71,88058,6971.56952724878,24,"Exudate vs Root","Root","Root enriched - FDR supported"
"F1077_mz154.1228_rt0.86",-10.03754831648,22.0719534556759,-51.2971634979808,6.08854404156994e-08,1.88608720618801e-05,7.1692628217964,1077,0.863,154.12282,"Unknown","[M+H]+","ion correlated with 1075",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",28138.63,83837,7322.56782127436,24,"Exudate vs Root","Root","Root enriched - FDR supported"
"F135_mz81.017_rt0.52",-7.63206532759408,21.833763968328,-49.8662467479151,7.00228896134367e-08,1.88608720618801e-05,7.13013603515053,135,0.517,81.01697,"Unknown","[M+H]+","ion correlated with 137; found in higher mz's MsMs_1135",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",4666.81,1396171,59.4158434634128,24,"Exudate vs Root","Root","Root enriched - FDR supported"
"F3175_mz305.1767_rt1.34",-9.20532409057542,16.4128271365898,-46.5395948283737,9.84941496256552e-08,1.88608720618801e-05,7.02734915993271,3175,1.341,305.17673,"Unknown","[M+H]+","ion correlated with 1888",0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",514.84,1118,4207.87578194817,24,"Exudate vs Root","Root","Root enriched - FDR supported"
"F1078_mz154.1228_rt0.5",-9.78549820919627,21.9607185655688,-46.249500026723,1.01584589202227e-07,1.88608720618801e-05,7.01751075662326,1078,0.497,154.12285,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23290.13,103532,5662.79428781162,18,"Exudate vs Root","Root","Root enriched - FDR supported"
"F109_mz79.0213_rt0.52",-6.84312578718939,26.4438292001132,-42.5081091836149,1.54101261185452e-07,2.45241149943705e-05,6.87575946076103,109,0.517,79.02129,"Unknown","[M+H]+","ion correlated with 111; found in higher mz's MsMs_1135; found in higher mz's MsMs_1108",0.5,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",43539.84,29560208.6666667,51.8656262011854,24,"Exudate vs Root","Root","Root enriched - FDR supported"
"F321_mz101.0034_rt0.52",-7.24075628929227,18.1843392075571,-36.3115461175034,3.35455148093331e-07,4.67121293719964e-05,6.56297666997891,321,0.517,101.00338,"Unknown","[M+H]+","found in higher mz's MsMs_835",0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",419.07,137063.333333333,133.314266050249,24,"Exudate vs Root","Root","Root enriched - FDR supported"
"F364_mz104.1071_rt0.44",-9.13427125327192,21.3828975274308,-31.8186510678131,6.4354498287617e-07,7.96565678804503e-05,6.24877226771411,364,0.44,104.1071,"Unknown","[M+H]+","similar chromatogram in higher mz_1380; found in higher mz's MsMs_2511; found in higher mz's MsMs_2042; found in higher mz's MsMs_2316; similar chromatogram in higher mz_4515; similar chromatogram in higher mz_4613; similar chromatogram in higher mz_3095; similar chromatogram in higher mz_1008; similar chromatogram in higher mz_879; similar chromatogram in higher mz_3559; similar chromatogram in higher mz_3973",0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",15447.05,24680.3333333333,9645.38883636757,24,"Exudate vs Root","Root","Root enriched - FDR supported"
"F1099_mz156.1384_rt0.5",-11.4662160808522,18.7250551352419,-30.9536246562043,7.37200805310999e-07,8.21241697116453e-05,6.1769568082169,1099,0.499,156.13838,"Unknown","[M+H]+","found in higher mz's MsMs_1942",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",6034.52,7618.33333333333,11987.6998425059,12,"Exudate vs Root","Root","Root enriched - FDR supported"
"F7_mz61.011_rt0.52",-4.78446309038435,17.7170643536325,-29.7479234653287,8.96638859559167e-07,9.08050626862647e-05,6.0695788798703,7,0.524,61.011,"Unknown","[M+H]+","found in higher mz's MsMs_109; found in higher mz's MsMs_2175",0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",136.84,30825.6666666667,57.43089316609,24,"Exudate vs Root","Root","Root enriched - FDR supported"
"F4775_mz565.5676_rt7.75",5.23111112651127,14.8296165828351,28.7637436474359,1.05827020571107e-06,9.82427507635111e-05,5.97507632795896,4775,7.747,565.56763,"Unknown","[M+H]+",NA,0.036,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",92.69,60687,21.324199182705,24,"Exudate vs Root","Exudate","Exudate enriched - FDR supported"
"F564_mz118.984_rt0.4",4.68914889790028,15.6370748713247,26.7711554237769,1.50697075121714e-06,0.000121528351972419,5.76244234538347,564,0.397,118.98398,"Unknown","[M+H]+",NA,0.25,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",125.6,0,194686,24,"Exudate vs Root","Exudate","Exudate enriched - FDR supported"
"F290_mz98.9844_rt0.46",5.49525315502683,19.898102542,26.6164770664608,1.55056428098873e-06,0.000121528351972419,5.74462886625738,290,0.464,98.98443,"Unknown","[M+H]+","found in higher mz's MsMs_2511; similar chromatogram in higher mz_3032; similar chromatogram in higher mz_3021; similar chromatogram in higher mz_2409; similar chromatogram in higher mz_3207; similar chromatogram in higher mz_3310; similar chromatogram in higher mz_4027; similar chromatogram in higher mz_4560; similar chromatogram in higher mz_3476; similar chromatogram in higher mz_1206; similar chromatogram in higher mz_2397; similar chromatogram in higher mz_3359; similar chromatogram in higher mz_3936; similar chromatogram in higher mz_3813; similar chromatogram in higher mz_4220; similar chromatogram in higher mz_4355; similar chromatogram in higher mz_3195; similar chromatogram in higher mz_809; similar chromatogram in higher mz_2030; similar chromatogram in higher mz_4108; similar chromatogram in higher mz_3182; similar chromatogram in higher mz_1457; similar chromatogram in higher mz_3676; similar chromatogram in higher mz_1864; similar chromatogram in higher mz_4610",0.857,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",98.65,27792.6666666667,144.809393027188,24,"Exudate vs Root","Exudate","Exudate enriched - FDR supported"
"F1100_mz156.1384_rt0.88",-12.4265000447224,18.9137466266981,-26.3267110151363,1.63637816838984e-06,0.000121528351972419,5.71071332920756,1100,0.885,156.13843,"Unknown","[M+H]+","found in higher mz's MsMs_4069",0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",8831.42,3834.66666666667,43856.0781263579,17,"Exudate vs Root","Root","Root enriched - FDR supported"
"F1438_mz180.0868_rt0.46",-5.34407138139481,19.9779551875836,-25.0542721571848,2.08793303087683e-06,0.000145372337274799,5.55291927939626,1438,0.463,180.08681,"Unknown","[M+H]+",NA,0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",952.36,91837.6666666667,135.498951059104,24,"Exudate vs Root","Root","Root enriched - FDR supported"
