"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F4086_mz393.2866_rt2.14",-10.4812968046473,19.1414069404318,-27.1723316339756,1.4078771322092e-06,0.00227885741898143,6.00571996795494,4086,2.14,393.28659,"Unknown","[M+H]+",NA,0.286,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",15392.28,4792.66666666667,9686.1029831027,22,"Fungal in vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F3301_mz316.3218_rt2.65",4.85688527174331,15.0805579625692,25.2802093384452,2.00780389337571e-06,0.00227885741898143,5.75520982053121,3301,2.646,316.32178,"Unknown","[M+H]+","ion correlated with 2689",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",82.22,1461.66666666667,190.985414767548,17,"Fungal in vs Fungal control","Fungal in","Fungal in enriched - FDR supported"
"F2331_mz244.264_rt2.03",3.78824928208408,17.4570372370154,19.2381237292985,7.66552624575444e-06,0.00297373099685525,4.68337233196866,2331,2.033,244.26398,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",140.7,22708.6666666667,37.6727678374848,24,"Fungal in vs Fungal control","Fungal in","Fungal in enriched - FDR supported"
"F4217_mz413.2137_rt0.4",-2.53263626985112,18.596149206852,-18.4267427465028,9.46348344197336e-06,0.00297373099685525,4.49810963641264,4217,0.398,413.21371,"Unknown","[M+H]+",NA,0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9733.46,0,1437444,12,"Fungal in vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F587_mz120.5276_rt0.94",4.60011734518121,15.5624992819584,18.247806895676,9.92568476835774e-06,0.00297373099685525,4.45560938265129,587,0.942,120.52758,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",59.01,6609,39.7320726172466,24,"Fungal in vs Fungal control","Fungal in","Fungal in enriched - FDR supported"
"F2420_mz251.1605_rt0.4",-2.84553676328222,20.8211670767279,-17.7338186141024,1.14121529235489e-05,0.00297373099685525,4.33004688038967,2420,0.397,251.16052,"Unknown","[M+H]+",NA,0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",240.9,5197.66666666667,1565.92036419595,17,"Fungal in vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F2997_mz293.1824_rt0.43",-1.83284621864805,18.3582178400754,-17.6674359450998,1.16230354062204e-05,0.00297373099685525,4.31344333175938,2997,0.427,293.18243,"Unknown","[M+H]+","ion correlated with 2083",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",113.53,2269.33333333333,537.018499486125,13,"Fungal in vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F7_mz61.011_rt0.52",2.2529633755392,20.4169616989957,17.0901250492669,1.36687037165777e-05,0.00297373099685525,4.16515699397208,7,0.524,61.011,"Unknown","[M+H]+","found in higher mz's MsMs_109; found in higher mz's MsMs_2175",0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",136.84,30825.6666666667,57.43089316609,24,"Fungal in vs Fungal control","Fungal in","Fungal in enriched - FDR supported"
"F2576_mz263.0819_rt2.63",-1.72422579536423,16.8528008369381,-16.6002038925401,1.57512155663184e-05,0.00297373099685525,4.03361223284921,2576,2.632,263.08188,"Unknown","[M+H]+",NA,0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",46.57,0,316426,11,"Fungal in vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F2361_mz246.1705_rt1.47",3.91329401788283,12.9505194021275,16.4123219440987,1.66494995249473e-05,0.00297373099685525,3.98171039132268,2361,1.469,246.17055,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23.69,2787,47.4440459110473,18,"Fungal in vs Fungal control","Fungal in","Fungal in enriched - FDR supported"
