"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F1177_mz162.1127_rt0.45",1.93140725495105,18.5617626274032,16.7519817208584,1.58861169361769e-05,0.0197907226838259,3.81680940908518,1177,0.451,162.11272,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",181.89,7071.33333333333,141.089220907763,21,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F2603_mz265.9678_rt1.25",2.95399397337626,15.8508339022326,15.1756387485916,2.56191555123764e-05,0.0197907226838259,3.43425741783276,2603,1.247,265.9678,"Unknown","[M+H]+","ion correlated with 2946; ion correlated with 3235; ion correlated with 1768; ion correlated with 2002; ion correlated with 488; ion correlated with 4899",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",340.17,0,1103752,9,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F2481_mz256.0819_rt0.65",3.29914562941418,17.8620131374364,14.3259331036902,3.38256433695835e-05,0.0197907226838259,3.20085477806892,2481,0.652,256.08191,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",720.63,0,5673333,12,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F1774_mz202.9707_rt0.38",-1.60449524473478,15.1657970481703,-14.236092209199,3.4866293249817e-05,0.0197907226838259,3.17493655118762,1774,0.384,202.97069,"Unknown","[M+H]+","ion correlated with 2852; ion correlated with 898",0.25,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",161.82,4173,111.591039770005,24,"Fungal in vs Fungal out","Fungal out","Fungal out enriched - FDR supported"
"F4315_mz430.1566_rt0.47",1.94387239599969,18.0297518463042,13.0763907880602,5.24577131201723e-05,0.0197907226838259,2.81696876069227,4315,0.467,430.15659,"Unknown","[M+H]+",NA,0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",6468.85,0,784213,12,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F4316_mz430.1576_rt0.87",2.7447778550686,18.3473535092817,12.7156489062771,5.99878703159946e-05,0.0197907226838259,2.6960748813004,4316,0.869,430.15759,"Unknown","[M+H]+",NA,0.393,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",6124.96,0,617084,13,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F2816_mz280.155_rt1.08",3.90970310848241,16.8552188686082,12.6932982040076,6.04956588588565e-05,0.0197907226838259,2.68842460856817,2816,1.076,280.15497,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",123.69,11048.3333333333,269.108815011464,18,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F1046_mz152.0475_rt0.94",1.57350322751857,17.0404743584736,11.7324188883485,8.81402408551433e-05,0.0207664207412932,2.34069217396652,1046,0.937,152.0475,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",18.63,314216,13.9210768354354,24,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F1858_mz208.647_rt0.92",-1.45687621865242,17.6835042162301,-11.6845777568626,8.98749633783218e-05,0.0207664207412932,2.32236689684947,1858,0.915,208.64702,"Unknown","[M+H]+","ion correlated with 1652; ion correlated with 1859; ion correlated with 1545; ion correlated with 3651; ion correlated with 3806; ion correlated with 2688",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",7113.38,607,1853.67269736842,12,"Fungal in vs Fungal out","Fungal out","Fungal out enriched - FDR supported"
"F2482_mz256.0819_rt0.49",3.01493224919921,18.2407633531585,11.6173007144795,9.23841192284193e-05,0.0207664207412932,2.29642559445676,2482,0.491,256.08194,"Unknown","[M+H]+",NA,0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",975.17,0,7561205,13,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F1566_mz189.0526_rt0.41",1.54387099857452,16.5004344238956,11.431754420618,9.97513660062117e-05,0.0207664207412932,2.22382811315697,1566,0.412,189.05261,"Unknown","[M+H]+",NA,0.321,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",30.05,7721.33333333333,26.683515345103,24,"Fungal in vs Fungal out","Fungal in","Fungal in enriched - FDR supported"
"F2541_mz260.161_rt0.82",-2.79429580847117,18.7694934934032,-11.0150863399486,0.000119023640902721,0.022713678138936,2.05497417054751,2541,0.821,260.16095,"Unknown","[M+H]+","ion correlated with 2017; ion correlated with 566; ion correlated with 1813; ion correlated with 988; ion correlated with 618; ion correlated with 2209; ion correlated with 2436",0.071,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2426.43,0,4062069,12,"Fungal in vs Fungal out","Fungal out","Fungal out enriched - FDR supported"
