"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F2331_mz244.264_rt2.03",3.81691880165952,17.8206538002334,26.5519383352944,1.40826147665623e-06,0.00359951633433333,5.76661161364244,2331,2.033,244.26398,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",140.7,22708.6666666667,37.6727678374848,24,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
"F3301_mz316.3218_rt2.65",5.05905910591277,15.530884000005,22.6086580328366,3.12970638259688e-06,0.00399976475695881,5.24293306367811,3301,2.646,316.32178,"Unknown","[M+H]+","ion correlated with 2689",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",82.22,1461.66666666667,190.985414767548,17,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
"F2997_mz293.1824_rt0.43",-2.1534850896147,18.5471861913992,-16.5152190513608,1.47905723095082e-05,0.00585058038380708,4.01935356861324,2997,0.427,293.18243,"Unknown","[M+H]+","ion correlated with 2083",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",113.53,2269.33333333333,537.018499486125,13,"Fungal out vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F2689_mz272.2954_rt2.69",4.17452308429011,15.9821872414351,16.4597167456517,1.50378477286875e-05,0.00585058038380708,4.0049573405385,2689,2.693,272.29535,"Unknown","[M+H]+","ion correlated with 3301",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",44.76,1315.33333333333,215.593567991897,21,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
"F2934_mz288.29_rt1.99",2.83271843732549,15.893152014278,16.2446947557528,1.60437494902071e-05,0.00585058038380708,3.94849055028873,2934,1.992,288.29001,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",13.48,12622,18.8403707518023,24,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
"F2420_mz251.1605_rt0.4",-2.19985025423325,21.4932985442661,-15.9538712083821,1.75354936864867e-05,0.00585058038380708,3.87032252482385,2420,0.397,251.16052,"Unknown","[M+H]+",NA,0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",240.9,5197.66666666667,1565.92036419595,17,"Fungal out vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F2330_mz244.2639_rt1.89",3.68392494073986,17.4643933611295,15.832538467075,1.82065967058542e-05,0.00585058038380708,3.83708500130186,2330,1.893,244.26393,"Unknown","[M+H]+","ion correlated with 2935",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",89.36,22272.3333333333,30.6050733313379,24,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
"F1899_mz212.1033_rt0.9",1.63536103605087,21.9462576879617,15.6813895606592,1.90861161164405e-05,0.00585058038380708,3.79515288907217,1899,0.896,212.10332,"Unknown","[M+H]+",NA,0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",968.16,802.333333333333,8468.80456431535,15,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
"F2935_mz288.2902_rt1.87",4.34843347405162,17.4272737041308,15.4396894755886,2.06006351542503e-05,0.00585058038380708,3.72685984396318,2935,1.869,288.29022,"Unknown","[M+H]+","ion correlated with 2330",0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",234.72,6005.33333333333,146.646373272657,22,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
"F2410_mz250.1192_rt1.06",1.81461338473848,18.7908926032074,14.3081893141039,2.99295446081388e-05,0.00764999160184029,3.38554288295223,2410,1.065,250.11919,"Unknown","[M+H]+","similar chromatogram in higher mz_2806",0.321,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",54.36,21308,39.5603735510817,22,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
"F4217_mz413.2137_rt0.4",-1.97956064209881,19.2219749707668,-13.4667202324411,4.02650823272735e-05,0.00935614094804646,3.10636621087735,4217,0.398,413.21371,"Unknown","[M+H]+",NA,0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9733.46,0,1437444,12,"Fungal out vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F3406_mz325.0436_rt0.72",-2.19907168374619,16.2648000564219,-11.6447218001694,8.17271603163878e-05,0.0170765260608594,2.41422947020517,3406,0.722,325.04361,"Unknown","[M+H]+",NA,0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",3908.08,0,412307,11,"Fungal out vs Fungal control","Fungal control","Fungal control enriched - FDR supported"
"F2894_mz286.2747_rt2.15",4.84761792378006,15.8764763000006,11.4995433879803,8.68524408416164e-05,0.0170765260608594,2.35321443789708,2894,2.147,286.27472,"Unknown","[M+H]+",NA,0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",70.74,905.333333333333,361.663847002574,10,"Fungal out vs Fungal control","Fungal out","Fungal out enriched - FDR supported"
