"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F4756_mz555.4051_rt3.42",6.03734866649064,14.6765922119973,22.0842588055159,3.34790621290578e-06,0.00360612239802014,4.76273582575254,4756,3.42,555.40509,"Unknown","[M+H]+","ion correlated with 4277",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9.07,0,447754,6,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2053_mz222.1129_rt1.18",4.54577111108488,18.7801986222342,20.1722632119631,5.25594331003062e-06,0.00360612239802014,4.49479645284864,2053,1.179,222.11288,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",453.87,21574.3333333333,150.442820504898,24,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F4086_mz393.2866_rt2.14",11.1738727735073,19.0112534790928,20.1617919784161,5.26954076671234e-06,0.00360612239802014,4.49319219433895,4086,2.14,393.28659,"Unknown","[M+H]+",NA,0.286,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",15392.28,4792.66666666667,9686.1029831027,22,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2331_mz244.264_rt2.03",-4.95273809499666,16.3983134193332,-17.630557479761,1.02624115898205e-05,0.00469858467279562,4.05316149025767,2331,2.033,244.26398,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",140.7,22708.6666666667,37.6727678374848,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F1476_mz182.0814_rt0.52",-5.06561254265165,20.39236485888,-17.2475464228308,1.14432164461657e-05,0.00469858467279562,3.9763692068197,1476,0.518,182.08141,"Unknown","[M+H]+",NA,0.393,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",575.01,11555,1018.96659743856,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F2420_mz251.1605_rt0.4",3.45361387797775,20.6487261830202,14.0607431650911,3.13956368524325e-05,0.0104042232170884,3.20247104697735,2420,0.397,251.16052,"Unknown","[M+H]+",NA,0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",240.9,5197.66666666667,1565.92036419595,17,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F1910_mz213.0761_rt0.97",-5.30224533007665,15.6697424496879,-13.6387924821319,3.6471401491001e-05,0.0104042232170884,3.07845428491896,1910,0.966,213.07605,"Unknown","[M+H]+","similar chromatogram in higher mz_4414; found in higher mz's MsMs_4414",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",54.87,5392,85.1895049137771,21,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F2330_mz244.2639_rt1.89",-4.89828668800165,15.7921076281307,-13.3481489936359,4.05425161893362e-05,0.0104042232170884,2.98954803706033,2330,1.893,244.26393,"Unknown","[M+H]+","ion correlated with 2935",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",89.36,22272.3333333333,30.6050733313379,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F2997_mz293.1824_rt0.43",2.6857492015434,18.308192227524,11.9442952999595,6.98586834190316e-05,0.0142579139927078,2.51580865692935,2997,0.427,293.18243,"Unknown","[M+H]+","ion correlated with 2083",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",113.53,2269.33333333333,537.018499486125,13,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F886_mz141.0549_rt0.94",-2.68238942736857,18.3150835198161,-11.6857046715336,7.77311052350001e-05,0.0142579139927078,2.41973622509924,886,0.942,141.05487,"Unknown","[M+H]+",NA,0.25,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",62.69,50610.6666666667,16.8357229887707,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F1728_mz200.1034_rt0.8",3.4265460036976,15.9869374541307,11.3595029060993,8.92254305803446e-05,0.0142579139927078,2.29423205752981,1728,0.801,200.10335,"Unknown","[M+H]+","ion correlated with 2277",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",80.14,3093.33333333333,131.376602391468,13,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F260_mz97.0287_rt0.94",-2.52784158263514,18.7860041136233,-11.3039124069601,9.13810183786274e-05,0.0142579139927078,2.27234818412193,260,0.94,97.02866,"Unknown","[M+H]+","similar chromatogram in higher mz_886; similar chromatogram in higher mz_2802; similar chromatogram in higher mz_3443",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",83.81,56925,17.4074939395004,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F2934_mz288.29_rt1.99",-3.53257898079663,14.6511001972582,-11.2685710126246,9.27837251544838e-05,0.0142579139927078,2.25835892394847,2934,1.992,288.29001,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",13.48,12622,18.8403707518023,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F1386_mz176.0558_rt0.69",2.38631081922582,16.4962877303445,11.1606496976947,9.72288338518799e-05,0.0142579139927078,2.21526739969858,1386,0.687,176.05583,"Unknown","[M+H]+","ion correlated with 1390; ion correlated with 970; ion correlated with 917; ion correlated with 1979; ion correlated with 825; ion correlated with 2134; ion correlated with 1891; ion correlated with 1688; ion correlated with 1086",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",81.62,0,375909,13,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F636_mz124.0396_rt1.02",-2.18165284053867,18.5553721260717,-10.6796661796558,0.000120409074920925,0.0159199283463521,2.01615945402377,636,1.025,124.03963,"Unknown","[M+H]+",NA,0.179,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",45.45,105861,16.4496136479568,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F1578_mz190.0502_rt1.03",5.1273212469412,18.6554804115786,10.6138272248371,0.000124071531194171,0.0159199283463521,1.98797622689951,1578,1.032,190.05022,"Unknown","[M+H]+","ion correlated with 650; ion correlated with 885",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1425.28,625.666666666667,6774.55372340426,20,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2122_mz227.1394_rt0.79",2.93347091484124,17.6989567423544,10.3856357539736,0.000137835079139208,0.0163810283752749,1.88849274238425,2122,0.788,227.13943,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",124.16,0,939333,14,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F1062_mz153.0408_rt0.75",2.6380151367355,20.3928841104606,10.2976475260207,0.000143623239529931,0.0163810283752749,1.84936977632084,1062,0.749,153.04083,"Unknown","[M+H]+","similar chromatogram in higher mz_3448",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",157.68,14715,459.11518075564,19,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2741_mz275.1105_rt0.92",-2.87367111543487,16.0011927675845,-9.62788280502047,0.000198612830660484,0.0214606390182091,1.53686994698006,2741,0.921,275.1105,"Unknown","[M+H]+",NA,0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",41.56,0,279610,15,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F2247_mz237.1852_rt1.58",6.28208960686273,15.4392763574927,9.39576071388258,0.000223303222875797,0.0229220758282006,1.4221614775864,2247,1.584,237.18524,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",102.13,1426.33333333333,525.005604857543,18,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F4175_mz407.2396_rt1.02",5.28975029426797,16.1725686329005,9.29994090908117,0.000234549882254126,0.0229300432508439,1.37379363577426,4175,1.022,407.23965,"Unknown","[M+H]+","ion correlated with 4067; ion correlated with 4082; ion correlated with 1927; ion correlated with 1765; ion correlated with 3243; ion correlated with 3461; ion correlated with 1504; ion correlated with 1606",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9700.03,0,789965,12,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2004_mz218.1501_rt0.45",-1.88648963508272,18.0700563502374,-9.10810931564105,0.0002591573650012,0.0230172895120152,1.27512276394933,2004,0.446,218.1501,"Unknown","[M+H]+","ion correlated with 2058; ion correlated with 493; ion correlated with 2360; ion correlated with 2364; ion correlated with 2016; ion correlated with 1812; ion correlated with 1989; ion correlated with 2207; ion correlated with 1541",0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",276.61,0,1574746,13,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F728_mz130.1229_rt1.24",4.32008379681118,18.4549674415845,9.00362800459295,0.000273848406460573,0.0230172895120152,1.22032667386631,728,1.235,130.12289,"Unknown","[M+H]+","ion correlated with 580; ion correlated with 1207; similar chromatogram in higher mz_1444; similar chromatogram in higher mz_1176",0.286,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",134.51,10188.6666666667,265.412116850404,23,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F791_mz135.0556_rt0.93",-2.45586025557765,16.6982279553316,-8.96605647894287,0.000279371866086219,0.0230172895120152,1.20043658674944,791,0.933,135.05556,"Unknown","[M+H]+",NA,0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",49.96,17197.3333333333,16.8254094388991,19,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F864_mz140.0345_rt0.72",3.68218227593825,17.937788990429,8.90318091957272,0.000288914478169217,0.0230172895120152,1.16692872791531,864,0.716,140.03448,"Unknown","[M+H]+",NA,0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",27.59,9596.66666666667,137.809537040253,19,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F650_mz125.0236_rt1.02",3.97412213571744,18.9964139324396,8.88656907551518,0.000291500013303651,0.0230172895120152,1.1580291546049,650,1.019,125.02357,"Unknown","[M+H]+","ion correlated with 1578; ion correlated with 885; similar chromatogram in higher mz_966; similar chromatogram in higher mz_2975; similar chromatogram in higher mz_3144; similar chromatogram in higher mz_4033; similar chromatogram in higher mz_4175; similar chromatogram in higher mz_4321; found in higher mz's MsMs_1504",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",304.95,13448,237.297048107666,24,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2465_mz255.098_rt0.48",2.73904791867325,18.4441301455319,8.70243636209294,0.000322082541799539,0.0244902021597945,1.05805395039652,2465,0.481,255.09801,"Unknown","[M+H]+",NA,0.393,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",135.66,0,1346025,16,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F837_mz138.0553_rt0.98",-3.36067713300998,19.8389476707168,-8.6345277156064,0.000334313662050892,0.0245123552925172,1.02055784953066,837,0.983,138.05528,"Unknown","[M+H]+",NA,0.321,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",464.17,30179,123.736348575215,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F1577_mz190.0031_rt0.42",-2.2444308544135,16.356528161454,-8.44770101548618,0.00037091933319028,0.026258530725505,0.915617143877071,1577,0.418,190.00308,"Unknown","[M+H]+",NA,0.357,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",36.56,7876.66666666667,31.1413278043414,24,"Fungi old vs Fungal in","Fungal in","Fungal in enriched - FDR supported"
"F1774_mz202.9707_rt0.38",1.82634734145203,15.1551410016004,8.31714099324685,0.000399340652066561,0.0273282119564217,0.840692628689366,1774,0.384,202.97069,"Unknown","[M+H]+","ion correlated with 2852; ion correlated with 898",0.25,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",161.82,4173,111.591039770005,24,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2392_mz248.1497_rt1.19",3.75142671691903,17.0465655391667,8.1910505923705,0.000429274673723198,0.0282810803222437,0.767058935993767,2392,1.192,248.14972,"Unknown","[M+H]+","ion correlated with 2194; ion correlated with 2707; ion correlated with 2166; ion correlated with 3235; ion correlated with 2358; ion correlated with 1768",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",106.81,6117.66666666667,258.656515580737,23,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2816_mz280.155_rt1.08",2.14950074251466,19.7632329675209,8.14519611775587,0.000440815669903458,0.0282810803222437,0.739964917370666,2816,1.076,280.15497,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",123.69,11048.3333333333,269.108815011464,18,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F1352_mz173.1399_rt0.77",3.40481490473807,18.3880297409551,8.01118835251953,0.000476714900537138,0.0288758694925447,0.659799303324537,1352,0.77,173.13991,"Unknown","[M+H]+","similar chromatogram in higher mz_4233; similar chromatogram in higher mz_4520; similar chromatogram in higher mz_2073",0.357,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",76.05,0,2212920,18,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2437_mz252.1235_rt1.13",3.12545616177451,18.0495780427956,7.95906080246721,0.000491609059896335,0.0288758694925447,0.62821382074924,2437,1.131,252.12346,"Unknown","[M+H]+","ion correlated with 2194; ion correlated with 2707",0.143,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",126.62,0,2344398,14,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
"F2188_mz232.0973_rt1.25",2.59593801151548,16.2803315255354,7.95674914495759,0.000492282236843188,0.0288758694925447,0.626807852171901,2188,1.251,232.09734,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1692.53,0,277906,13,"Fungi old vs Fungal in","Fungi old","Fungi old enriched - FDR supported"
