"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F2053_mz222.1129_rt1.18",4.97137257713151,18.969087661118,24.4977315159472,2.02257409232096e-06,0.00273759920424611,5.14817448169001,2053,1.179,222.11288,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",453.87,21574.3333333333,150.442820504898,24,"Fungi old vs Fungal out","Fungi old","Fungi old enriched - FDR supported"
"F2331_mz244.264_rt2.03",-5.13859857993933,16.8929104221587,-23.5760376945841,2.44865760666021e-06,0.00273759920424611,5.0434881191642,2331,2.033,244.26398,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",140.7,22708.6666666667,37.6727678374848,24,"Fungi old vs Fungal out","Fungal out","Fungal out enriched - FDR supported"
"F2816_mz280.155_rt1.08",5.89685272091374,18.2912467255346,19.1172465920503,6.94717847913193e-06,0.005177963693113,4.3963036582048,2816,1.076,280.15497,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",123.69,11048.3333333333,269.108815011464,18,"Fungi old vs Fungal out","Fungi old","Fungi old enriched - FDR supported"
"F2481_mz256.0819_rt0.65",5.66134117728108,19.4855715382349,16.82160666968,1.30957808507102e-05,0.007320541495547,3.94099580210233,2481,0.652,256.08191,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",720.63,0,5673333,12,"Fungi old vs Fungal out","Fungi old","Fungi old enriched - FDR supported"
"F2330_mz244.2639_rt1.89",-5.29483343113732,16.3920357460122,-14.3244054180221,2.89373027550439e-05,0.0121975087472312,3.30991140062829,2330,1.893,244.26393,"Unknown","[M+H]+","ion correlated with 2935",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",89.36,22272.3333333333,30.6050733313379,24,"Fungi old vs Fungal out","Fungal out","Fungal out enriched - FDR supported"
"F650_mz125.0236_rt1.02",6.89039135644095,17.9399690640738,13.5201273646063,3.84374564730599e-05,0.0121975087472312,3.06849001050494,650,1.019,125.02357,"Unknown","[M+H]+","ion correlated with 1578; ion correlated with 885; similar chromatogram in higher mz_966; similar chromatogram in higher mz_2975; similar chromatogram in higher mz_3144; similar chromatogram in higher mz_4033; similar chromatogram in higher mz_4175; similar chromatogram in higher mz_4321; found in higher mz's MsMs_1504",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",304.95,13448,237.297048107666,24,"Fungi old vs Fungal out","Fungi old","Fungi old enriched - FDR supported"
"F636_mz124.0396_rt1.02",-2.58330417899104,19.1578857823833,-13.4532395459581,3.93842137699056e-05,0.0121975087472312,3.04744190565106,636,1.025,124.03963,"Unknown","[M+H]+",NA,0.179,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",45.45,105861,16.4496136479568,24,"Fungi old vs Fungal out","Fungal out","Fungal out enriched - FDR supported"
"F2997_mz293.1824_rt0.43",2.8492148934172,18.6281488834595,13.0805778757561,4.51992659825548e-05,0.0121975087472312,2.92728496977592,2997,0.427,293.18243,"Unknown","[M+H]+","ion correlated with 2083",0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",113.53,2269.33333333333,537.018499486125,13,"Fungi old vs Fungal out","Fungi old","Fungi old enriched - FDR supported"
"F2247_mz237.1852_rt1.58",7.38463685324621,15.289691528148,12.7623930466142,5.09911209899841e-05,0.0121975087472312,2.82067537890304,2247,1.584,237.18524,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",102.13,1426.33333333333,525.005604857543,18,"Fungi old vs Fungal out","Fungi old","Fungi old enriched - FDR supported"
"F2420_mz251.1605_rt0.4",2.65075318833067,21.4518463981319,12.4621109940827,5.72875538042799e-05,0.0121975087472312,2.71650616865374,2420,0.397,251.16052,"Unknown","[M+H]+",NA,0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",240.9,5197.66666666667,1565.92036419595,17,"Fungi old vs Fungal out","Fungi old","Fungi old enriched - FDR supported"
"F2934_mz288.29_rt1.99",-3.75615629127597,15.1645310658376,-12.1274106633548,6.54333134746137e-05,0.0121975087472312,2.59613366044958,2934,1.992,288.29001,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",13.48,12622,18.8403707518023,24,"Fungi old vs Fungal out","Fungal out","Fungal out enriched - FDR supported"
