"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F2053_mz222.1129_rt1.18",5.15246220246517,19.1979492018319,16.3020368963379,1.42346822578179e-05,0.0196682984185489,3.72125990532741,2053,1.179,222.11288,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",453.87,21574.3333333333,150.442820504898,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F2247_mz237.1852_rt1.58",8.1034834100286,15.249674017972,14.154765789377,2.87349078076832e-05,0.0196682984185489,3.20296101099032,2247,1.584,237.18524,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",102.13,1426.33333333333,525.005604857543,18,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F2481_mz256.0819_rt0.65",8.9780304184186,18.1466333139686,13.5727775366226,3.53805221696124e-05,0.0196682984185489,3.03925806644874,2481,0.652,256.08191,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",720.63,0,5673333,12,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F650_mz125.0236_rt1.02",8.11772830564606,17.6457069262014,13.4288173288413,3.72979394103323e-05,0.0196682984185489,2.99701918620309,650,1.019,125.02357,"Unknown","[M+H]+","ion correlated with 1578; ion correlated with 885; similar chromatogram in higher mz_966; similar chromatogram in higher mz_2975; similar chromatogram in higher mz_3144; similar chromatogram in higher mz_4033; similar chromatogram in higher mz_4175; similar chromatogram in higher mz_4321; found in higher mz's MsMs_1504",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",304.95,13448,237.297048107666,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F1578_mz190.0502_rt1.03",5.79882748432766,19.0408234096636,13.027112292133,4.33413363123598e-05,0.0196682984185489,2.8752896034917,1578,1.032,190.05022,"Unknown","[M+H]+","ion correlated with 650; ion correlated with 885",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1425.28,625.666666666667,6774.55372340426,20,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F2323_mz244.095_rt1.18",3.99952742761322,16.8261671256334,12.2452286251547,5.88178308128118e-05,0.022242943019045,2.62091350546047,2323,1.179,244.09496,"Unknown","[M+H]+","ion correlated with 3623",0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",71.93,0,420124,14,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F1306_mz171.0655_rt1.1",10.5897239904947,18.4249358284423,11.7668846461703,7.15546623168318e-05,0.0231939326852702,2.45294026610316,1306,1.1,171.06552,"Unknown","[M+H]+","ion correlated with 885",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",608.99,26035.6666666667,660.638368966842,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F1207_mz164.1072_rt1.26",5.05345518370759,18.9794724134224,11.3515285664242,8.5356682168776e-05,0.0240647545657531,2.29880296345391,1207,1.259,164.10722,"Unknown","[M+H]+","ion correlated with 580; ion correlated with 728",0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",275.22,3108,966.614988742361,17,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F1003_mz148.0396_rt1.21",6.9816006900812,15.7261658755085,10.6146713062166,0.000118524429409622,0.0240647545657531,2.00471681618753,1003,1.207,148.03957,"Unknown","[M+H]+","ion correlated with 2799; ion correlated with 2619; ion correlated with 2120; ion correlated with 2102; ion correlated with 1754; ion correlated with 2021; ion correlated with 1272; ion correlated with 1996",0.071,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",88.75,558,1214.60107334526,18,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F1866_mz209.1176_rt1.18",4.1831449289409,16.6505186233657,10.6143631808735,0.000118541219756702,0.0240647545657531,2.00458797064962,1866,1.18,209.11765,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",73.13,20202,20.8894718606148,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F885_mz141.0549_rt1.07",8.71120208920096,19.2557117653527,10.4581229962347,0.000127431950680379,0.0240647545657531,1.93859151845346,885,1.069,141.05486,"Unknown","[M+H]+","ion correlated with 1306; similar chromatogram in higher mz_1284; similar chromatogram in higher mz_2816; similar chromatogram in higher mz_2941; similar chromatogram in higher mz_3277",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",736.51,26056.6666666667,531.143719698617,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F1259_mz167.1069_rt1.06",3.10358477956866,16.2743272653554,10.351966423669,0.000133926780310501,0.0240647545657531,1.8929844309119,1259,1.059,167.10687,"Unknown","[M+H]+","ion correlated with 3491",0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",48.16,62457.3333333333,11.2143562374917,24,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F2392_mz248.1497_rt1.19",5.56165051018433,16.8625488207675,10.2903597126602,0.000137876513598409,0.0240647545657531,1.86622753708155,2392,1.192,248.14972,"Unknown","[M+H]+","ion correlated with 2194; ion correlated with 2707; ion correlated with 2166; ion correlated with 3235; ion correlated with 2358; ion correlated with 1768",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",106.81,6117.66666666667,258.656515580737,23,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F1765_mz202.1078_rt1",4.91271268516564,17.9540652339452,9.5496460919829,0.00019812969094408,0.0321111620537227,1.52701537714194,1765,1.003,202.1078,"Unknown","[M+H]+","ion correlated with 4067; ion correlated with 4082; ion correlated with 3243; ion correlated with 650; ion correlated with 1504; ion correlated with 1578; ion correlated with 1606",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",296.01,10267.6666666667,143.679705252224,23,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F728_mz130.1229_rt1.24",4.13783554507332,19.2671875427331,9.34421781256212,0.000220086884100964,0.0332918093350058,1.42687857043337,728,1.235,130.12289,"Unknown","[M+H]+","ion correlated with 580; ion correlated with 1207; similar chromatogram in higher mz_1444; similar chromatogram in higher mz_1176",0.286,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",134.51,10188.6666666667,265.412116850404,23,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F4435_mz453.1987_rt0.95",2.26843637765062,18.7039958690239,8.84085254779423,0.000287338677755391,0.0407482162391863,1.16942775185171,4435,0.954,453.19867,"Unknown","[M+H]+",NA,0.286,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",6684.92,0,829157,13,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
"F1415_mz178.0865_rt1.13",1.71702474687508,17.9920486246961,8.70281161852471,0.000309874121107285,0.041359081223084,1.09567516417996,1415,1.13,178.08652,"Unknown","[M+H]+","similar chromatogram in higher mz_2723",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",44.95,0,450099,21,"Fungi old vs Fungal control","Fungi old","Fungi old enriched - FDR supported"
