"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category"
"F4415_mz449.1084_rt1.13",8.44351713355318,20.7104260578992,44.2389596846583,1.12574991423155e-07,0.000203197859518795,6.38891368211294,4415,1.133,449.1084,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",649964.5,0,62892733,6,"Leaf vs Root","Leaf","Leaf enriched - FDR supported"
"F3078_mz299.201_rt1.52",7.3639804997179,15.9101649986912,32.76808220138,5.02038660208395e-07,0.000274087727390136,5.90257293558807,3078,1.522,299.20099,"Unknown","[M+H]+","ion correlated with 5095; ion correlated with 3298; ion correlated with 5127; ion correlated with 3111; ion correlated with 3355",0.036,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",47.81,0,1385955,10,"Leaf vs Root","Leaf","Leaf enriched - FDR supported"
"F4494_mz465.1033_rt1.1",7.4916710969215,19.1015064386639,31.8440554733072,5.78824017354497e-07,0.000274087727390136,5.84471137139369,4494,1.1,465.1033,"Unknown","[M+H]+","ion correlated with 3599; ion correlated with 3918; ion correlated with 2899; ion correlated with 4549",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",87209.38,0,13057112,6,"Leaf vs Root","Leaf","Leaf enriched - FDR supported"
"F3599_mz344.171_rt1.07",10.3646917231034,18.8917301529592,30.3249942762133,7.38126242904442e-07,0.000274087727390136,5.74077433796097,3599,1.074,344.17096,"Unknown","[M+H]+","ion correlated with 4415",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",8756.06,0,33435863,18,"Leaf vs Root","Leaf","Leaf enriched - FDR supported"
"F5121_mz764.5317_rt8.96",9.96571202493394,17.161516642786,30.1534434562627,7.59245782244144e-07,0.000274087727390136,5.72829071483584,5121,8.959,764.53168,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1187.27,1386.66666666667,6286.73168388182,18,"Leaf vs Root","Leaf","Leaf enriched - FDR supported"
"F3668_mz349.2354_rt4.01",-7.72369361420984,14.2601062850025,-26.3309714067805,1.48906166013566e-06,0.000427424128712303,5.40330303192469,3668,4.014,349.23538,"Unknown","[M+H]+",NA,0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",36.3,0,188150,9,"Leaf vs Root","Root","Root enriched - FDR supported"
"F4856_mz600.418_rt5.95",5.40382512566725,17.7158468867892,25.7683796336944,1.65760049916129e-06,0.000427424128712303,5.34670374116116,4856,5.952,600.41797,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",217.16,0,2730388,7,"Leaf vs Root","Leaf","Leaf enriched - FDR supported"
"F2780_mz277.1803_rt1.61",7.59246311843226,20.7472602205933,24.3728386793856,2.18508884944213e-06,0.000480262933996999,5.19459021822628,2780,1.608,277.18033,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",6492.7,1303.66666666667,36070.6824220746,21,"Leaf vs Root","Leaf","Leaf enriched - FDR supported"
"F3354_mz319.2272_rt2.82",4.86152120725023,17.085517637292,23.4886876258609,2.62449727130945e-06,0.000480262933996999,5.08869494249603,3354,2.821,319.22717,"Unknown","[M+H]+","ion correlated with 2673; ion correlated with 3576; ion correlated with 3108; similar chromatogram in higher mz_4962",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",74.29,6651,193.172579675286,21,"Leaf vs Root","Leaf","Leaf enriched - FDR supported"
"F3063_mz298.2745_rt2.28",-6.06885111769628,18.0409215541729,-23.4238010218375,2.66073647643767e-06,0.000480262933996999,5.08060823356328,3063,2.275,298.27448,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",296.02,1015.66666666667,1206.47016393443,20,"Leaf vs Root","Root","Root enriched - FDR supported"
