"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_1","blank_2","blank_3","blank_4","exudate_1","exudate_2","exudate_3","FC_1","FC_2","FC_3","fungi_old_1","fungi_old_2","fungi_old_3","leaf_1","leaf_2","leaf_3","new_in_P08","new_in_P09","new_in_P10","new_out_P08","new_out_P09","new_out_P10","root_1","root_2","root_3","Soil_control_1","Soil_control_2","Soil_control_3","feature_name","blank_mean","maximum_biological_signal","sample_to_blank_ratio","present_in_any_group","number_detected","leaf_detected_n","root_detected_n","exudate_detected_n","soil_detected_n","leaf_present","root_present","exudate_present","soil_present","plant_pattern","RT_flag","MSMS_flag","annotation_flag","plant_candidate_class","leaf_mean_raw","root_mean_raw","exudate_mean_raw","soil_mean_raw"
4601,0.417,494.81091,"Unknown","[M+H]+",NA,0.357,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2519.11,0,0,0,0,54904,51386,49920,168105,124364,155656,156112,172976,158587,0,0,0,88723,118678,85444,169543,208833,176572,0,15057,18571,0,0,33718,"F4601_mz494.8109_rt0.42",0,208833,208834,TRUE,18,0,2,3,1,FALSE,TRUE,TRUE,FALSE,"Root + Exudate","Very early RT","No MS/MS assignment","Unknown","Root + Exudate; absent Leaf/Soil",0,11209.3333333333,52070,11239.3333333333
2544,0.897,260.1973,"Unknown","[M+H]+","ion correlated with 806; ion correlated with 2928; ion correlated with 1958; ion correlated with 1993; ion correlated with 350; ion correlated with 765",0.357,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",8489.63,0,0,3192,0,2894,0,2337,14723480,20256288,18672238,3693864,114246,171432,0,0,0,3761736,5966644,4303394,11583611,12940279,14647884,0,21217,22004,0,0,4790,"F2544_mz260.1973_rt0.9",1064,20256288,19019.9896713615,TRUE,17,0,2,2,1,FALSE,TRUE,TRUE,FALSE,"Root + Exudate","Early RT","MS/MS available","Unknown","Root + Exudate; absent Leaf/Soil",0,14407,1743.66666666667,1596.66666666667
1207,1.259,164.10722,"Unknown","[M+H]+","ion correlated with 580; ion correlated with 728",0.25,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",275.22,3527,1996,3801,0,0,3217,395,96862,97702,94611,1600034,3005205,2789257,0,0,0,89645,168894,102849,120989,189708,145622,0,2404,2223,1991,0,0,"F1207_mz164.1072_rt1.26",3108,3005205,966.614988742361,TRUE,17,0,2,2,1,FALSE,TRUE,TRUE,FALSE,"Root + Exudate","RT >= 1 min","MS/MS available","Unknown","Root + Exudate; absent Leaf/Soil",0,1542.33333333333,1204,663.666666666667
1085,0.441,155.04285,"Unknown","[M+H]+","ion correlated with 93; ion correlated with 71; ion correlated with 4479; ion correlated with 4409",0.429,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",237.26,8711,20334,5237,0,11928,19102,24992,2376630,2703958,2362838,1421761,22639,19168,0,34083,0,1784982,2608626,2025942,2783139,2892060,2601550,217155,290349,170705,0,0,7531,"F1085_mz155.0428_rt0.44",11427.3333333333,2892060,253.060609596033,TRUE,20,1,3,3,1,FALSE,TRUE,TRUE,FALSE,"Root + Exudate","Very early RT","No MS/MS assignment","Unknown","Root + Exudate; absent Leaf/Soil",11361,226069.666666667,18674,2510.33333333333
5091,9.703,739.74512,"Unknown","[M+H]+",NA,0.071,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",26.46,79128,0,0,0,17666,2387,53767,0,0,738,0,1771,1539,0,0,0,0,138137,9442,77185,0,0,133201,62880,0,0,0,574,"F5091_mz739.7451_rt9.7",26376,138137,5.23706259241005,TRUE,12,0,2,3,1,FALSE,TRUE,TRUE,FALSE,"Root + Exudate","RT >= 1 min","No MS/MS assignment","Unknown","Root + Exudate; absent Leaf/Soil",0,65360.3333333333,24606.6666666667,191.333333333333
3781,0.549,360.15039,"Unknown","[M+H]+",NA,0.179,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9624.85,0,0,0,0,1055,0,26112,24729742,24844686,20871732,14581873,4945256,4665228,15446169,13351759,24078092,8046914,12624237,8003516,19735436,21239356,19101216,1254883,1403900,858944,0,0,0,"F3781_mz360.1504_rt0.55",0,24844686,24844687,TRUE,20,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate","Early RT","MS/MS available","Unknown","Leaf + Root + Exudate; absent Soil",17625340,1172575.66666667,9055.66666666667,0
1621,0.476,193.07092,"Unknown","[M+H]+","ion correlated with 2176; ion correlated with 1879; ion correlated with 2202; ion correlated with 3203; ion correlated with 2771; ion correlated with 2231",0.214,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",225.12,0,0,0,0,0,9830,6220,0,0,0,33636,0,0,14195091,12189693,14009478,0,0,0,0,0,0,2344451,1840902,1593625,0,0,0,"F1621_mz193.0709_rt0.48",0,14195091,14195092,TRUE,9,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Leaf + Root + Exudate; absent Soil",13464754,1926326,5350,0
387,0.447,106.04995,"Unknown","[M+H]+","ion correlated with 336; ion correlated with 783; ion correlated with 776; ion correlated with 4587; similar chromatogram in higher mz_3459; similar chromatogram in higher mz_3276",0.571,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1893.79,0,0,0,0,9448,29039,12572,6963424,7896946,6275698,3557974,163881,93004,1219902,988243,975108,7341653,8958309,7632013,8682648,9271355,9039822,870015,931447,946446,0,0,52979,"F387_mz106.05_rt0.45",0,9271355,9271356,TRUE,22,3,3,3,1,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Leaf + Root + Exudate; absent Soil",1061084.33333333,915969.333333333,17019.6666666667,17659.6666666667
3515,3.553,335.22198,"Unknown","[M+H]+","ion correlated with 3115; ion correlated with 3702; ion correlated with 3318; ion correlated with 3338; ion correlated with 2474; ion correlated with 2676; ion correlated with 3745; ion correlated with 3906; ion correlated with 5005; ion correlated with 5013; similar chromatogram in higher mz_3942; similar chromatogram in higher mz_3996",0.107,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",94.13,0,0,0,0,2740,0,1652,0,0,0,2553,2081,0,1990828,2459904,6401209,1560,336,0,0,2013,1407,15833,1378,9316,0,0,0,"F3515_mz335.222_rt3.55",0,6401209,6401210,TRUE,14,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate","RT >= 1 min","MS/MS available","Unknown","Leaf + Root + Exudate; absent Soil",3617313.66666667,8842.33333333333,1464,0
4676,0.487,522.20361,"Unknown","[M+H]+",NA,0.536,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23581.81,0,0,0,0,2820,8083,0,3224087,2509624,2506437,4042362,3253325,3137366,108126,270941,211128,4509700,4115352,4630106,3862045,3481396,2968236,52526,160273,118933,0,0,0,"F4676_mz522.2036_rt0.49",0,4630106,4630107,TRUE,20,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate","Very early RT","MS/MS available","Unknown","Leaf + Root + Exudate; absent Soil",196731.666666667,110577.333333333,3634.33333333333,0
