"feature_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","comparison","higher_in","result_category","leaf_detected_n","root_detected_n","exudate_detected_n","soil_detected_n","leaf_present","root_present","exudate_present","soil_present","plant_pattern","RT_flag","MSMS_flag","annotation_flag","evidence_tier"
"F2594_mz265.0235_rt0.44",-7.45164633391679,16.2148553609236,-15.6378236223007,2.13968372527795e-05,0.0296560164323523,2.60037527257724,2594,0.443,265.02347,"Unknown","[M+H]+",NA,0.214,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",195.81,622.666666666667,3125.54302512026,24,"Exudate vs Soil","Soil","Soil enriched - FDR supported",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","Very early RT","No MS/MS assignment","Unknown","Tier 1: FDR + >=2-fold"
"F1906_mz212.852_rt0.43",-3.37218661726751,16.3956383402032,-6.1668836869941,0.00170618502352914,0.082947833545563,-0.541701676409275,1906,0.43,212.85202,"Unknown","[M+H]+",NA,0.429,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9298.76,0,1557993,18,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,0,3,3,TRUE,FALSE,TRUE,TRUE,"Leaf + Exudate","Very early RT","No MS/MS assignment","Unknown","Tier 3: exploratory + >=2-fold"
"F1209_mz164.921_rt0.43",-3.0776250004549,16.2330897117532,-6.13685520113326,0.00174363783455864,0.082947833545563,-0.561944860323425,1209,0.428,164.92101,"Unknown","[M+H]+","similar chromatogram in higher mz_2567",0.321,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",38.89,0,357997,15,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,0,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Very early RT","No MS/MS assignment","Unknown","Tier 3: exploratory + >=2-fold"
"F1682_mz196.8781_rt0.43",-2.98585143501535,17.7844014870047,-5.53533253088503,0.00274493045121337,0.082947833545563,-0.992226651940189,1682,0.429,196.8781,"Unknown","[M+H]+","similar chromatogram in higher mz_3665",0.536,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1801.35,0,1192926,19,"Exudate vs Soil","Soil","Soil enriched - exploratory",3,0,3,3,TRUE,FALSE,TRUE,TRUE,"Leaf + Exudate","Very early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F1449_mz180.8948_rt0.43",-2.91148988789328,17.7329259270469,-5.88053462803079,0.00210614991285372,0.082947833545563,-0.739414990925213,1449,0.427,180.89479,"Unknown","[M+H]+","similar chromatogram in higher mz_2309",0.429,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",187.58,0,887399,17,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,0,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Very early RT","No MS/MS assignment","Unknown","Tier 3: exploratory + >=2-fold"
"F1034_mz150.4944_rt0.44",-2.60113731906855,15.6447028714943,-6.78839129604107,0.00110861688816779,0.082947833545563,-0.146982779343137,1034,0.438,150.49442,"Unknown","[M+H]+","ion correlated with 4226; ion correlated with 808; ion correlated with 1802; ion correlated with 2160; ion correlated with 3219; ion correlated with 1143; ion correlated with 1127; ion correlated with 327; similar chromatogram in higher mz_2795",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",2160.65,0,207134,7,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,1,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Very early RT","No MS/MS assignment","Unknown","Tier 3: exploratory + >=2-fold"
"F808_mz136.484_rt0.43",-2.33508567226669,15.7594423844169,-6.50435995454528,0.00134439125059406,0.082947833545563,-0.321771955208685,808,0.433,136.48401,"Unknown","[M+H]+","ion correlated with 4226; ion correlated with 3231; ion correlated with 1802; ion correlated with 2160; ion correlated with 3219; ion correlated with 1143; ion correlated with 1034; ion correlated with 1127; ion correlated with 327; ion correlated with 946; ion correlated with 1503; similar chromatogram in higher mz_1143; similar chromatogram in higher mz_2160; similar chromatogram in higher mz_3219",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",3392.49,0,183577,6,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,0,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Very early RT","No MS/MS assignment","Unknown","Tier 3: exploratory + >=2-fold"
"F1744_mz201.0526_rt0.5",-2.27304838192567,17.7523218010417,-5.60985207680143,0.00258961910883976,0.082947833545563,-0.936263700273659,1744,0.501,201.05261,"Unknown","[M+H]+","ion correlated with 946; ion correlated with 574; ion correlated with 904",0.071,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",87.84,24082.3333333333,25.9474878892734,8,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,1,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Early RT","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F4226_mz414.3914_rt0.4",-2.26777223848162,15.3814874176334,-8.14641435715457,0.000480077012342757,0.082947833545563,0.574894548342009,4226,0.398,414.39142,"Unknown","[M+2H]2+","ion correlated with 808; ion correlated with 1034; ion correlated with 1127",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",141.12,0,158401,9,"Exudate vs Soil","Soil","Soil enriched - exploratory",1,0,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Very early RT","No MS/MS assignment","Unknown","Tier 3: exploratory + >=2-fold"
"F3537_mz337.1051_rt2.67",2.08906200217763,14.2414708002047,6.67829054419197,0.00119369202881885,0.082947833545563,-0.213657830094391,3537,2.671,337.10507,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",923.6,8617.33333333333,21.0754206149681,24,"Exudate vs Soil","Exudate","Exudate enriched - exploratory",3,3,3,3,TRUE,TRUE,TRUE,TRUE,"Leaf + Root + Exudate","RT >= 1 min","MS/MS available","Unknown","Tier 3: exploratory + >=2-fold"
"F1802_mz204.9095_rt0.43",-1.92866115124911,16.3598058108729,-9.51191916854723,0.000232323320501293,0.082947833545563,1.14596321484403,1802,0.433,204.90947,"Unknown","[M+H]+","ion correlated with 371; ion correlated with 4024; ion correlated with 808; ion correlated with 1143; ion correlated with 2056; ion correlated with 1034; ion correlated with 1127; ion correlated with 327; ion correlated with 946; ion correlated with 574; ion correlated with 1503",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",67.37,0,208414,8,"Exudate vs Soil","Soil","Soil enriched - exploratory",0,0,3,3,FALSE,FALSE,TRUE,TRUE,"Exudate only","Very early RT","No MS/MS assignment","Unknown","Tier 3: exploratory + >=2-fold"
