"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_1","blank_2","blank_3","blank_4","exudate_1","exudate_2","exudate_3","FC_1","FC_2","FC_3","fungi_old_1","fungi_old_2","fungi_old_3","leaf_1","leaf_2","leaf_3","new_in_P08","new_in_P09","new_in_P10","new_out_P08","new_out_P09","new_out_P10","root_1","root_2","root_3","Soil_control_1","Soil_control_2","Soil_control_3","feature_name","blank_mean","maximum_biological_signal","sample_to_blank_ratio","present_in_any_group","number_detected","leaf_detected_n","root_detected_n","exudate_detected_n","soil_detected_n","leaf_present","root_present","exudate_present","soil_present","plant_pattern"
3781,0.549,360.15039,"Unknown","[M+H]+",NA,0.179,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9624.85,0,0,0,0,1055,0,26112,24729742,24844686,20871732,14581873,4945256,4665228,15446169,13351759,24078092,8046914,12624237,8003516,19735436,21239356,19101216,1254883,1403900,858944,0,0,0,"F3781_mz360.1504_rt0.55",0,24844686,24844687,TRUE,20,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
1621,0.476,193.07092,"Unknown","[M+H]+","ion correlated with 2176; ion correlated with 1879; ion correlated with 2202; ion correlated with 3203; ion correlated with 2771; ion correlated with 2231",0.214,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",225.12,0,0,0,0,0,9830,6220,0,0,0,33636,0,0,14195091,12189693,14009478,0,0,0,0,0,0,2344451,1840902,1593625,0,0,0,"F1621_mz193.0709_rt0.48",0,14195091,14195092,TRUE,9,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
387,0.447,106.04995,"Unknown","[M+H]+","ion correlated with 336; ion correlated with 783; ion correlated with 776; ion correlated with 4587; similar chromatogram in higher mz_3459; similar chromatogram in higher mz_3276",0.571,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1893.79,0,0,0,0,9448,29039,12572,6963424,7896946,6275698,3557974,163881,93004,1219902,988243,975108,7341653,8958309,7632013,8682648,9271355,9039822,870015,931447,946446,0,0,52979,"F387_mz106.05_rt0.45",0,9271355,9271356,TRUE,22,3,3,3,1,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
3515,3.553,335.22198,"Unknown","[M+H]+","ion correlated with 3115; ion correlated with 3702; ion correlated with 3318; ion correlated with 3338; ion correlated with 2474; ion correlated with 2676; ion correlated with 3745; ion correlated with 3906; ion correlated with 5005; ion correlated with 5013; similar chromatogram in higher mz_3942; similar chromatogram in higher mz_3996",0.107,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",94.13,0,0,0,0,2740,0,1652,0,0,0,2553,2081,0,1990828,2459904,6401209,1560,336,0,0,2013,1407,15833,1378,9316,0,0,0,"F3515_mz335.222_rt3.55",0,6401209,6401210,TRUE,14,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
4676,0.487,522.20361,"Unknown","[M+H]+",NA,0.536,TRUE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",23581.81,0,0,0,0,2820,8083,0,3224087,2509624,2506437,4042362,3253325,3137366,108126,270941,211128,4509700,4115352,4630106,3862045,3481396,2968236,52526,160273,118933,0,0,0,"F4676_mz522.2036_rt0.49",0,4630106,4630107,TRUE,20,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
1505,0.466,184.07347,"Unknown","[M+H]+","ion correlated with 1828; ion correlated with 2965; ion correlated with 2415; found in higher mz's MsMs_2511",0.607,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",159.08,0,0,0,0,47134,37635,50469,1001901,1079274,760320,955050,540778,552521,3699718,3370481,4247745,387027,497256,411819,643229,690361,791353,105988,202316,195872,0,7217,0,"F1505_mz184.0735_rt0.47",0,4247745,4247746,TRUE,22,3,3,3,1,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
3309,1.04,317.13889,"Unknown","[M+H]+","ion correlated with 1654; ion correlated with 1405; ion correlated with 3171; ion correlated with 3624; ion correlated with 2793; ion correlated with 3937; ion correlated with 3608; ion correlated with 1217; ion correlated with 4207; ion correlated with 4658; ion correlated with 4759; ion correlated with 1837; ion correlated with 799; ion correlated with 392; ion correlated with 4649; ion correlated with 819; ion correlated with 3463; ion correlated with 4722; ion correlated with 3491; ion correlated with 4603",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",235.42,0,0,0,0,2485,2283,2083,1960,17056,4749,7027,12292,27940,1583827,975955,1348696,0,0,17076,32806,3193,27796,162259,24756,17750,0,0,0,"F3309_mz317.1389_rt1.04",0,1583827,1583828,TRUE,19,3,3,3,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
2903,0.482,287.12415,"Unknown","[M+H]+","ion correlated with 3508; ion correlated with 1373; ion correlated with 2556",0.25,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",61.03,0,0,0,0,0,3900,1007,113171,62244,144180,67366,159696,178209,579319,735414,696976,0,84921,0,142974,0,127555,13378,0,17047,0,0,3777,"F2903_mz287.1242_rt0.48",0,735414,735415,TRUE,17,3,2,2,1,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
2902,0.927,287.11072,"Unknown","[M+H]+","ion correlated with 4069; ion correlated with 3268; ion correlated with 521; ion correlated with 1686; ion correlated with 3389; ion correlated with 3170; ion correlated with 4123; ion correlated with 4880; ion correlated with 1393; ion correlated with 3860; ion correlated with 2553; ion correlated with 1904; ion correlated with 4002; ion correlated with 3955; ion correlated with 4029",0.036,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",93.88,0,0,0,0,0,1898,1920,0,0,0,0,26853,0,547528,398026,414774,0,0,0,0,0,0,60359,24931,33704,0,0,0,"F2902_mz287.1107_rt0.93",0,547528,547529,TRUE,9,3,3,2,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
3733,1.17,355.17358,"Unknown","[M+H]+","ion correlated with 4167; ion correlated with 4019; ion correlated with 1764; ion correlated with 4640; ion correlated with 4223; ion correlated with 4153; ion correlated with 4192; ion correlated with 3143; ion correlated with 4250; ion correlated with 1598; ion correlated with 1870; ion correlated with 4797; ion correlated with 4792; ion correlated with 2013; ion correlated with 4871",0.107,FALSE,"null","null","null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",55.77,0,0,0,0,2544,2200,1695,7076,4878,0,0,0,11004,507570,413162,255331,3546,0,0,0,0,8040,60636,30207,4771,0,0,0,"F3733_mz355.1736_rt1.17",0,507570,507571,TRUE,14,3,3,3,0,TRUE,TRUE,TRUE,FALSE,"Leaf + Root + Exudate"
