"feature_name","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected"
"F64_mz72.081_rt0.39",64,0.393,72.08096,"Unknown","[M+H]+","found in higher mz's MsMs_2420",0.357,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",198.43,59794.3333333333,135.058265416476,24
"F259_mz97.0286_rt1.01",259,1.015,97.02865,"Unknown","[M+H]+","ion correlated with 1542; ion correlated with 1504; found in higher mz's MsMs_650; found in higher mz's MsMs_3013; found in higher mz's MsMs_3243; found in higher mz's MsMs_1504",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",45.5,23135.6666666667,17.4035873793402,24
"F489_mz114.0552_rt1",489,1.005,114.05519,"Unknown","[M+H]+",NA,0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",32.68,44203,15.2383494706361,24
"F650_mz125.0236_rt1.02",650,1.019,125.02357,"Unknown","[M+H]+","ion correlated with 1578; ion correlated with 885; similar chromatogram in higher mz_966; similar chromatogram in higher mz_2975; similar chromatogram in higher mz_3144; similar chromatogram in higher mz_4033; similar chromatogram in higher mz_4175; similar chromatogram in higher mz_4321; found in higher mz's MsMs_1504",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",304.95,13448,237.297048107666,24
"F885_mz141.0549_rt1.07",885,1.069,141.05486,"Unknown","[M+H]+","ion correlated with 1306; similar chromatogram in higher mz_1284; similar chromatogram in higher mz_2816; similar chromatogram in higher mz_2941; similar chromatogram in higher mz_3277",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",736.51,26056.6666666667,531.143719698617,24
"F990_mz147.0765_rt0.46",990,0.459,147.07654,"Unknown","[M+H]+",NA,0.643,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1406.56,847.333333333333,55467.7497053045,24
"F1150_mz160.0428_rt0.78",1150,0.776,160.04276,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",43.23,0,169653,18
"F1207_mz164.1072_rt1.26",1207,1.259,164.10722,"Unknown","[M+H]+","ion correlated with 580; ion correlated with 728",0.25,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",275.22,3108,966.614988742361,17
"F1259_mz167.1069_rt1.06",1259,1.059,167.10687,"Unknown","[M+H]+","ion correlated with 3491",0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",48.16,62457.3333333333,11.2143562374917,24
"F1306_mz171.0655_rt1.1",1306,1.1,171.06552,"Unknown","[M+H]+","ion correlated with 885",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",608.99,26035.6666666667,660.638368966842,24
"F1388_mz176.0919_rt0.91",1388,0.91,176.09192,"Unknown","[M+H]+",NA,0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",88.99,10936.3333333333,38.0869803730343,21
"F1466_mz181.1226_rt1.14",1466,1.14,181.12256,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",14.54,54038,7.83915320416736,24
"F1618_mz193.0476_rt1.1",1618,1.098,193.04764,"Unknown","[M+H]+","ion correlated with 2789; ion correlated with 1777; ion correlated with 1005; ion correlated with 3452; ion correlated with 2799",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",21.52,2230.33333333333,83.215267403645,15
"F1765_mz202.1078_rt1",1765,1.003,202.1078,"Unknown","[M+H]+","ion correlated with 4067; ion correlated with 4082; ion correlated with 3243; ion correlated with 650; ion correlated with 1504; ion correlated with 1578; ion correlated with 1606",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",296.01,10267.6666666667,143.679705252224,23
"F2002_mz218.139_rt1.26",2002,1.261,218.13898,"Unknown","[M+H]+","ion correlated with 1768; ion correlated with 2603; ion correlated with 488; ion correlated with 4899; ion correlated with 4573; ion correlated with 4641",0.036,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",193.37,5226.66666666667,114.077281132436,24
"F2120_mz227.1282_rt1.18",2120,1.178,227.12816,"Unknown","[M+H]+","ion correlated with 2619; ion correlated with 1003; ion correlated with 2021",0.036,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",108.27,20288.6666666667,23.348584665429,24
"F2247_mz237.1852_rt1.58",2247,1.584,237.18524,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",102.13,1426.33333333333,525.005604857543,18
"F2392_mz248.1497_rt1.19",2392,1.192,248.14972,"Unknown","[M+H]+","ion correlated with 2194; ion correlated with 2707; ion correlated with 2166; ion correlated with 3235; ion correlated with 2358; ion correlated with 1768",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",106.81,6117.66666666667,258.656515580737,23
"F2481_mz256.0819_rt0.65",2481,0.652,256.08191,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",720.63,0,5673333,12
"F2598_mz265.1122_rt0.48",2598,0.478,265.11215,"Unknown","[M+H]+",NA,0.107,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",268.04,0,1933286,14
"F2619_mz267.1208_rt1.18",2619,1.178,267.12082,"Unknown","[M+H]+","ion correlated with 2418; ion correlated with 523; ion correlated with 2799; ion correlated with 2120; ion correlated with 2102; ion correlated with 1003; ion correlated with 1754; ion correlated with 2021; ion correlated with 1272; ion correlated with 1996",0.071,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",128.98,12766,41.4609540220882,24
"F3052_mz297.2428_rt2.49",3052,2.493,297.24277,"Unknown","[M+H]+",NA,0.179,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",25.11,10529.6666666667,19.9091858698405,24
"F3227_mz310.1765_rt0.8",3227,0.799,310.17648,"Unknown","[M+H]+","ion correlated with 2962; ion correlated with 4683; ion correlated with 2192",0.143,FALSE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",157.97,29614.3333333333,64.1305967629381,18
"F3465_mz331.1983_rt0.97",3465,0.968,331.19827,"Unknown","[M+H]+","ion correlated with 1545; ion correlated with 3614; ion correlated with 3651; ion correlated with 1814; ion correlated with 2349; ion correlated with 647; ion correlated with 3806; ion correlated with 2248; ion correlated with 2688; ion correlated with 3480; ion correlated with 4036; ion correlated with 3785; ion correlated with 3294; ion correlated with 4312; ion correlated with 3652; ion correlated with 4454; ion correlated with 3913; ion correlated with 3451; ion correlated with 2698; ion correlated with 1750; ion correlated with 3613; ion correlated with 1836; ion correlated with 2985; ion correlated with 3379; ion correlated with 3479",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",111.82,888.666666666667,658.716373173473,15
