"feature_name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","MS/MS assigned","Formula","Ontology","Total score","S/N average","sample_to_blank_ratio","number_detected","absolute_PC1"
"F1540_mz187.1078_rt0.74",0.0224857408286739,0.00129195812230715,0.000230160742008606,-0.000632750513380739,-0.00296970838136469,-0.00156497878896879,0.00130761022919103,-0.000605142249883968,-0.00299970655569566,-0.0013766670300666,-0.00132164655762476,-0.00649987294157161,0.00095531081039469,-0.00147670072932705,-0.000410754068910851,0.00408978851798514,0.00304673509299996,-0.00164344107168762,0.00445378136954137,0.0131329596502584,-0.00120902288372105,-0.00159567780807333,0.000888141901627023,-0.00096277649434373,1540,0.738,187.10782,"Unknown","[M+H]+","ion correlated with 2509; ion correlated with 2962; ion correlated with 1268; ion correlated with 671; ion correlated with 1914; ion correlated with 2165",FALSE,"null","null","null",174.3,1343530,13,0.0224857408286739
"F2962_mz290.135_rt0.76",0.0224556719656606,0.00172558506582906,-0.00173846668025107,-0.000207983783046193,-0.00144004834731666,0.00237216886488642,-0.0036017959911026,-6.23018022642527e-05,-0.00248167291136768,-0.00200540548102807,-0.0016241342370316,0.00336070964350242,-0.000851695367885982,-0.00298638916729424,0.00375456698014207,-0.00103975718882319,0.00292474153381754,0.000524464371282491,0.00990697185663542,0.00108628096508135,-0.000180947506343112,0.013864224371869,0.0106358948560183,0.00520432301574665,2962,0.757,290.13498,"Unknown","[M+H]+","ion correlated with 530; ion correlated with 2509; ion correlated with 1540; ion correlated with 1268; ion correlated with 671; ion correlated with 2017; ion correlated with 2341; ion correlated with 1914; ion correlated with 2165; ion correlated with 3227; ion correlated with 4683; ion correlated with 566",FALSE,"null","null","null",696.97,1731103,13,0.0224556719656606
"F2947_mz289.2165_rt2.58",-0.0224497236375019,0.000708403642374307,0.00220258466256246,-0.000435061975092953,-0.00502659828705131,-0.0004634245844426,-0.0015406776649931,-0.00473206745841476,-0.0053309728623608,-0.00623484356703136,0.00689766315105302,0.00315560599403938,8.64258465387063e-05,0.000946593882464897,-0.000867535917726732,-0.000705554446579769,0.000148773774320632,-9.27651264584756e-05,0.000403547050627172,-0.000109610114387312,0.000399664577153064,0.000363512815997551,-0.000933167231688068,-0.0069273154808864,2947,2.575,289.21652,"Unknown","[M+H]+","ion correlated with 3670; ion correlated with 3516; ion correlated with 3077; similar chromatogram in higher mz_4147",TRUE,"null","null","null",24.79,591314,6,0.0224497236375019
"F4792_mz574.2658_rt1.2",-0.0224436581717518,0.0011408000908608,0.00187147973527306,-0.00118515750882174,-0.00540344566409801,-0.0017716963007319,-0.00383401630452057,-0.00542436389852961,-0.000346114972081888,-0.00500772497898047,0.00548467023779059,0.00165654266761945,0.000360850381740175,-0.00441550205738679,-0.00120597219090402,0.000674039343790948,-0.00158960017531475,0.000556262767621014,0.000739813050667128,5.08452025119007e-05,0.000629523915640303,0.000762434446122263,-0.000912284271180742,-0.00454889029392965,4792,1.196,574.26575,"Unknown","[M+H]+","ion correlated with 4647; ion correlated with 4639; ion correlated with 3143; ion correlated with 4250; ion correlated with 739; ion correlated with 1598; ion correlated with 1870; ion correlated with 3772; ion correlated with 4719; ion correlated with 4166; ion correlated with 4929; ion correlated with 4952; ion correlated with 4960; ion correlated with 3635; ion correlated with 4590; ion correlated with 4743; ion correlated with 4797; ion correlated with 4062; ion correlated with 4100; ion correlated with 4516; ion correlated with 2013; ion correlated with 4871; ion correlated with 4381; ion correlated with 4954; ion correlated with 3284; ion correlated with 4031",FALSE,"null","null","null",11210.39,747696,6,0.0224436581717518
"F2509_mz258.109_rt0.71",0.0224397834864824,0.00117076453026258,-0.00191719340751483,-0.00242580944880235,-0.00342171514577294,-0.0023031268614296,0.00172498064287968,0.00424645565277744,-0.00693010340328888,-0.00449685593298793,-9.63245590649046e-05,0.000970952578485116,-0.00350025463353058,-0.000419584654617855,0.00264246317585153,0.00180605565030027,0.000262994978423267,0.000738548925812143,0.0107171359063938,-0.000651414110563358,-0.000454996353373475,-0.000285013895958265,0.0011530883399596,-0.0180123936929353,2509,0.71,258.10895,"Unknown","[M+H]+","ion correlated with 2583; ion correlated with 52; ion correlated with 463; ion correlated with 2015; ion correlated with 2206; ion correlated with 2888; ion correlated with 530; ion correlated with 1540; ion correlated with 667; ion correlated with 2962; ion correlated with 1268",FALSE,"null","null","null",290.94,1362876,15,0.0224397834864824
"F3171_mz305.0661_rt1",-0.0224314690173961,0.000494209552416445,0.00245202375424007,0.000396075125640124,-0.00469370299137016,-0.00251539127761658,-0.00550818258743248,0.00208804977210631,0.00923064432198887,-0.0022999534450749,-0.00115298132113263,-0.000587733073258075,0.00211465323723728,-0.0074631551142514,-0.000571912955802757,0.00166537964460013,-0.00262885266112557,0.0012833603302651,0.00149021357988094,-0.00024511032401217,0.00150915286241087,0.000820099600055098,-0.00199190098836605,-0.0116306621745745,3171,1.002,305.0661,"Unknown","[M+H]+","ion correlated with 4843; ion correlated with 1654; ion correlated with 1405; ion correlated with 1458; ion correlated with 3624; ion correlated with 792; ion correlated with 2793; ion correlated with 3937; ion correlated with 1217; ion correlated with 4207; ion correlated with 3309; ion correlated with 4550; ion correlated with 4658; ion correlated with 4165; ion correlated with 4759; ion correlated with 1837; ion correlated with 4035",FALSE,"null","null","null",728.4,1545487,6,0.0224314690173961
"F2476_mz255.2112_rt5.92",-0.022415748416503,-0.0009056676867667,0.00256878629126223,0.000316080689406254,-0.00531953903554567,-0.00060323515670573,-0.00244677981979261,0.00530224496703237,0.00448792104223009,-0.00521227296182374,0.00112572152475906,0.00118473296617524,0.00278263104146134,0.0113563866636655,0.00247074780755335,-0.00300271501002202,0.0028216765736984,-0.000652544226351158,0.00100451102067749,-0.00115357776983274,0.00150600694429043,-0.000475484458855673,-0.00302510175986748,0.000625617608418392,2476,5.916,255.21117,"Unknown","[M+H]+","ion correlated with 4813; ion correlated with 4850; ion correlated with 1459",TRUE,"null","null","null",5.03,284130,6,0.022415748416503
"F4171_mz407.117_rt0.49",-0.0224036821341433,0.00222051531506849,0.00188170556630284,-0.00105613949994381,-0.00471976623025908,-0.0002726130636996,-0.00151089443139329,-0.00510009364615765,-0.00582718514727182,-0.00482427350727039,0.0049588415128245,0.0028940376022431,-0.000437722794520602,-0.00747101196718324,-0.00257027155884987,0.00147783418923654,-0.00201856700096466,0.000699000855852434,0.000537049901915705,0.000296691933197362,0.00022679463589194,0.000852785025439283,-0.00042279840392507,-0.00135847072044318,4171,0.486,407.11697,"Unknown","[M+H]+","ion correlated with 2200; ion correlated with 998; ion correlated with 1822; ion correlated with 2220; ion correlated with 3142; ion correlated with 3708; ion correlated with 245; ion correlated with 3533; ion correlated with 2575; ion correlated with 2488; ion correlated with 2556; ion correlated with 4513; ion correlated with 3561; ion correlated with 2337",FALSE,"null","null","null",7395.37,656031,6,0.0224036821341433
"F1813_mz205.1186_rt0.83",0.0223995459836894,0.000982705424624152,0.0020744385308319,-0.00366129212207941,-0.0025060079688312,0.00156882001203892,-0.00362447942510066,-0.000220812376671938,-8.61060455402063e-05,-0.00344435816682316,-0.00123531051411976,0.0119084137967061,0.00251961292719115,-0.00277037244311928,-0.00292036527685167,0.00178487401061645,0.00331573630707088,-0.00258312509082116,0.00414432844454333,-0.00424980869926845,-0.00995738839602331,-0.00635330974174257,0.00677437471722717,0.00241181778308686,1813,0.827,205.11861,"Unknown","[M+H]+","ion correlated with 2017; ion correlated with 566; ion correlated with 2541; ion correlated with 988; ion correlated with 618; ion correlated with 2209; ion correlated with 2436; ion correlated with 1377; similar chromatogram in higher mz_4580",TRUE,"null","null","null",262.53,1030.06689635372,16,0.0223995459836894
"F3627_mz346.1979_rt1.02",0.0223910390002024,-0.000216532550044722,0.00348532270331876,0.00158120134084224,-0.00440803751138032,0.00243202518578017,-0.000982108213163851,-0.00715441030450421,-0.0049128493935515,-0.00826458985681816,0.000100590779560162,7.96974885708249e-05,-0.00376740131845813,-0.00758007412652061,-0.00301302884646693,0.00277002045562906,-0.00400894995625288,-0.000634057424134861,0.00422210717695897,0.000556334971645629,-0.00183457465544897,0.00099733555378698,0.00242815276211858,0.0160533924222265,3627,1.02,346.19794,"Unknown","[M+H]+","ion correlated with 1446; ion correlated with 3132; ion correlated with 2444; ion correlated with 2891; ion correlated with 2926; ion correlated with 1544; ion correlated with 2620; ion correlated with 3432; ion correlated with 1392; ion correlated with 2908",TRUE,"null","null","null",373.64,2467.57894736842,13,0.0223910390002024
