compound_short,chemical_class,detections
Caryophyllene,Sesquiterpene,5
α-Pinene,Monoterpene,5
β-Pinene,Monoterpene,5
Germacrene D,Sesquiterpene,3
β-Phellandrene,Monoterpene,3
Abietane/phenanthrene-like,NA,2
Kaurene-like diterpene,NA,2
Undecane,NA,2
β-Myrcene,Monoterpene,2
1-Dodecene,NA,1
1-Tetradecene,NA,1
"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene",Sesquiterpene,1
Camphene,Monoterpene,1
Diterpene-like naphthalene,NA,1
Humulene,Sesquiterpene,1
Limonene/cyclohexene family,Monoterpene,1
Longifolene,Sesquiterpene,1
Methyl abietate,NA,1
iso-Pimaradiene,NA,1
α-Phellandrene,Monoterpene,1
